time; pose_x; pose_y; pose_heading;  gps_x; gps_y; speed_x; speed_y; acc_x; acc_y; actual_pos_x; actual_pos_y
5.008; -2.9; -2.00005e-14; 0; -2.9; -1.11298e-11; -1.5803e-11; -1.77757e-16; -9.8769e-10; -0; -2.9; -1.11298e-11
5.024; -2.89789; -2.00033e-14; 0; -2.9; -1.11298e-11; 0.131833; -1.77757e-16; 8.23957; 0; -2.89799; 6.53513e-09
5.04; -2.89689; 5.06132e-06; 0.00505263; -2.9; -1.11298e-11; 0.062607; 0.000316333; -4.32652; -0.0218605; -2.89714; 1.24213e-08
5.056; -2.89469; 1.61913e-05; 0.00505263; -2.9; -1.11298e-11; 0.137675; 0.000695626; 4.69174; 0.0237059; -2.89513; 1.81966e-08
5.072; -2.89245; 1.61913e-05; 0; -2.9; -1.11298e-11; 0.139751; -1.77809e-16; 0.129674; 0; -2.89312; 2.12227e-08
5.088; -2.89019; 2.18986e-05; 0.00252632; -2.9; -1.11298e-11; 0.141195; 0.000356704; 0.0902538; 0.00022801; -2.89111; 1.26922e-08
5.104; -2.88792; 3.62482e-05; 0.00631579; -2.9; -1.11298e-11; 0.142; 0.000896852; 0.0504418; 0.000318584; -2.8891; -6.58736e-09
5.12; -2.88564; 4.48677e-05; 0.00378947; -2.9; -1.11298e-11; 0.14216; 0.000538716; 0.00992805; 3.76223e-05; -2.88709; -3.57086e-08
5.136; -2.88338; 3.6278e-05; -0.00378947; -2.9; -1.11298e-11; 0.141669; -0.000536855; -0.0306923; 0.000116308; -2.88508; -7.36709e-08
5.152; -2.88112; 3.05712e-05; -0.00252632; -2.9; -1.11298e-11; 0.141185; -0.000356679; -0.0303013; 7.65507e-05; -2.88307; -1.12553e-07
5.168; -2.87887; 3.05712e-05; 1.47451e-17; -2.9; -1.11298e-11; 0.140715; -1.75485e-16; -0.0293835; -4.33264e-19; -2.88106; -1.65156e-07
5.184; -2.87662; 3.3406e-05; 0.00126316; -2.9; -1.11298e-11; 0.140266; 0.000177179; -0.0280508; -3.54326e-05; -2.87905; -2.2276e-07
5.2; -2.87439; 4.47115e-05; 0.00505263; -2.9; -1.11298e-11; 0.139845; 0.000706589; -0.0262597; -0.000132682; -2.87704; -2.84077e-07
5.216; -2.87215; 3.90743e-05; -0.00252632; -2.9; -1.11298e-11; 0.139461; -0.000352323; -0.0240602; 6.07839e-05; -2.87503; -3.47766e-07
5.232; -2.86993; 4.18859e-05; 0.00126316; -2.9; -1.11298e-11; 0.139118; 0.000175728; -0.0214866; -2.7141e-05; -2.87303; -4.12428e-07
5.248; -2.86771; 4.74972e-05; 0.00252632; -2.9; -1.11298e-11; 0.13882; 0.000350703; -0.0185941; -4.69747e-05; -2.87102; -4.76951e-07
5.264; -2.86549; 5.30984e-05; 0.00252632; -2.9; -1.11298e-11; 0.138573; 0.00035008; -0.015422; -3.89611e-05; -2.86901; -5.40954e-07
5.28; -2.86328; 4.19115e-05; -0.00505263; -2.9; -1.11298e-11; 0.138379; -0.000699186; -0.0120194; 6.07299e-05; -2.867; -6.04103e-07
5.296; -2.86106; 4.47055e-05; 0.00126316; -2.9; -1.11298e-11; 0.138246; 0.000174627; -0.0084332; -1.06525e-05; -2.86499; -6.6611e-07
5.312; -2.85885; 5.02905e-05; 0.00252632; -2.9; -1.11298e-11; 0.13817; 0.000349063; -0.00470901; -1.18965e-05; -2.86298; -7.26723e-07
5.328; -2.85664; 4.74983e-05; -0.00126316; -2.9; -1.11298e-11; 0.138157; -0.000174514; -0.000879558; 1.11102e-06; -2.86097; -7.85722e-07
5.344; -2.85443; 6.98433e-05; 0.0101053; -2.9; -1.11298e-11; 0.138197; 0.00139657; 0.00296391; 2.99521e-05; -2.85896; -8.42542e-07
5.36; -2.85222; 0.000100592; 0.0138947; -2.9; -1.11298e-11; 0.1383; 0.00192176; 0.00680711; 9.45891e-05; -2.85695; -8.95996e-07
5.376; -2.85; 0.000111787; 0.00505263; -2.9; -1.11298e-11; 0.138481; 0.000699698; 0.010587; 5.34925e-05; -2.85494; -9.44933e-07
5.392; -2.84778; 0.000103376; -0.00378947; -2.9; -1.11298e-11; 0.138709; -0.000525639; 0.0142503; -5.40013e-05; -2.85293; -9.88258e-07
5.408; -2.84556; 9.49491e-05; -0.00378947; -2.9; -1.11298e-11; 0.138993; -0.000526715; 0.017747; -6.7252e-05; -2.85092; -1.02495e-06
