time; pose_x; pose_y; pose_heading 
0.08; -2.9; -1.25609e-11; -1.5708
0.096; -2.9; -1.25609e-11; -1.5708
0.112; -2.9; -1.25609e-11; -1.5708
0.128; -2.9; -1.25609e-11; -1.5708
0.144; -2.9; -1.25609e-11; -1.5708
0.16; -2.89112; 1.26676e-08; -1.57081
0.176; -2.89112; 1.26676e-08; -1.57081
0.192; -2.89112; 1.26676e-08; -1.57081
0.208; -2.89112; 1.26676e-08; -1.57081
0.224; -2.89112; 1.26676e-08; -1.57081
0.24; -2.88107; -1.6516e-07; -1.57077
0.256; -2.88107; -1.6516e-07; -1.57077
0.272; -2.88107; -1.6516e-07; -1.57077
0.288; -2.88107; -1.6516e-07; -1.57077
0.304; -2.88107; -1.6516e-07; -1.57077
0.32; -2.87102; -4.76685e-07; -1.57077
0.336; -2.87102; -4.76685e-07; -1.57077
0.352; -2.87102; -4.76685e-07; -1.57077
0.368; -2.87102; -4.76685e-07; -1.57077
0.384; -2.87102; -4.76685e-07; -1.57077
0.4; -2.86097; -7.85405e-07; -1.57077
0.416; -2.86097; -7.85405e-07; -1.57077
0.432; -2.86097; -7.85405e-07; -1.57077
0.448; -2.86097; -7.85405e-07; -1.57077
0.464; -2.86097; -7.85405e-07; -1.57077
0.48; -2.85093; -1.0248e-06; -1.57078
0.496; -2.85093; -1.0248e-06; -1.57078
0.512; -2.85093; -1.0248e-06; -1.57078
0.528; -2.85093; -1.0248e-06; -1.57078
0.544; -2.85093; -1.0248e-06; -1.57078
0.56; -2.84088; -1.07992e-06; -1.57081
0.576; -2.84088; -1.07992e-06; -1.57081
0.592; -2.84088; -1.07992e-06; -1.57081
0.608; -2.84088; -1.07992e-06; -1.57081
0.624; -2.84088; -1.07992e-06; -1.57081
0.64; -2.83083; -8.80308e-07; -1.57083
0.656; -2.83083; -8.80308e-07; -1.57083
0.672; -2.83083; -8.80308e-07; -1.57083
0.688; -2.83083; -8.80308e-07; -1.57083
0.704; -2.83083; -8.80308e-07; -1.57083
0.72; -2.82078; -4.37239e-07; -1.57085
0.736; -2.82078; -4.37239e-07; -1.57085
0.752; -2.82078; -4.37239e-07; -1.57085
0.768; -2.82078; -4.37239e-07; -1.57085
0.784; -2.82078; -4.37239e-07; -1.57085
0.8; -2.81073; 1.55013e-07; -1.57086
0.816; -2.81073; 1.55013e-07; -1.57086
0.832; -2.81073; 1.55013e-07; -1.57086
0.848; -2.81073; 1.55013e-07; -1.57086
0.864; -2.81073; 1.55013e-07; -1.57086
0.88; -2.80069; 7.64569e-07; -1.57086
