time; pose_x; pose_y; pose_heading;  gps_x; gps_y; speed_x; speed_y; acc_x; acc_y; actual_pos_x; actual_pos_y
0.016; -2.9; 0; -0.00505263; 0; 0; 0; 0; 0; 0; -2.9; 1.14189e-12
0.032; -2.89914; -4.36546e-06; -0.00505263; 0; 0; 5.39993e-05; -2.72841e-07; 0; 0; -2.899; 3.20871e-09
0.048; -2.89813; -9.45849e-06; 0.00252632; 0; 0; 6.29992e-05; -3.18314e-07; 0; 0; -2.89799; 4.80117e-09
0.064; -2.89705; -6.73007e-06; 0.00252632; 0; 0; 6.74998e-05; 1.70526e-07; 0; 0; -2.89699; 7.05991e-09
0.08; -2.89597; -4.00165e-06; 0.00505263; 0; 0; 6.74998e-05; 1.70526e-07; 0; 0; -2.89598; 6.88096e-09
0.096; -2.8951; 3.63805e-07; 0.00505263; 0; 0; 5.39993e-05; 2.72841e-07; 0; 0; -2.89498; 1.65943e-08
0.112; -2.89388; 6.5482e-06; -0.00252632; 0; 0; 7.6499e-05; 3.86525e-07; 0; 0; -2.89397; 1.11685e-08
0.128; -2.89291; 4.09262e-06; -0.00378947; 0; 0; 6.07498e-05; -1.53474e-07; 0; 0; -2.89297; 4.40654e-09
0.144; -2.89186; 1.36423e-07; 0.00505263; 0; 0; 6.52495e-05; -2.47263e-07; 0; 0; -2.89196; -1.29405e-08
0.16; -2.89107; 4.13809e-06; 5.20417e-18; 0; 0; 4.94994e-05; 2.50104e-07; 0; 0; -2.89096; -2.08507e-08
0.176; -2.89006; 4.13809e-06; 5.20417e-18; 0; 0; 6.3e-05; 3.27863e-22; 0; 0; -2.88995; -3.04696e-08
0.192; -2.88895; 4.13809e-06; 0.00884211; 0; 0; 6.975e-05; 3.62991e-22; 0; 0; -2.88895; -4.16637e-08
0.208; -2.8879; 1.33691e-05; -0.00252632; 0; 0; 6.52474e-05; 5.7694e-07; 0; 0; -2.88794; -5.43028e-08
0.224; -2.88668; 1.02769e-05; -0.00252632; 0; 0; 7.64998e-05; -1.93263e-07; 0; 0; -2.88694; -6.82586e-08
0.24; -2.886; 8.54892e-06; -0.00884211; 0; 0; 4.27499e-05; -1.08e-07; 0; 0; -2.88593; -8.34021e-08
0.256; -2.88481; -1.95536e-06; 0.00505263; 0; 0; 7.42471e-05; -6.56518e-07; 0; 0; -2.88493; -9.96031e-08
0.272; -2.88376; 3.31956e-06; 0.00126316; 0; 0; 6.52492e-05; 3.29683e-07; 0; 0; -2.88392; -1.16728e-07
0.288; -2.88304; 4.22904e-06; -0.00126316; 0; 0; 4.5e-05; 5.68421e-08; 0; 0; -2.88292; -1.34642e-07
0.304; -2.882; 2.9103e-06; 2.1684e-18; 0; 0; 6.52499e-05; -8.2421e-08; 0; 0; -2.88191; -1.53202e-07
0.32; -2.88067; 2.9103e-06; -0.00126316; 0; 0; 8.325e-05; 1.8052e-22; 0; 0; -2.88091; -1.72267e-07
0.336; -2.87973; 1.72798e-06; -0.00378947; 0; 0; 5.85e-05; -7.38947e-08; 0; 0; -2.8799; -1.91685e-07
0.352; -2.87876; -1.95538e-06; 4.33681e-19; 0; 0; 6.07496e-05; -2.3021e-07; 0; 0; -2.8789; -2.10312e-07
0.368; -2.87811; -1.95538e-06; -0.00505263; 0; 0; 4.05e-05; 1.75641e-23; 0; 0; -2.87789; -2.30174e-07
0.384; -2.87703; -7.41219e-06; -0.0151579; 0; 0; 6.74991e-05; -3.41051e-07; 0; 0; -2.87689; -2.50108e-07
0.4; -2.87595; -2.37821e-05; -0.00252632; 0; 0; 6.74922e-05; -1.02312e-06; 0; 0; -2.87588; -2.70086e-07
0.416; -2.87494; -2.63286e-05; 0.00252632; 0; 0; 6.29998e-05; -1.59158e-07; 0; 0; -2.87488; -2.90077e-07
0.432; -2.87376; -2.33274e-05; -0.00126316; 0; 0; 7.42498e-05; 1.87579e-07; 0; 0; -2.87388; -3.10055e-07
0.448; -2.87282; -2.45097e-05; -0.00378947; 0; 0; 5.85e-05; -7.38947e-08; 0; 0; -2.87287; -3.29994e-07
0.464; -2.87185; -2.8193e-05; 0.00505263; 0; 0; 6.07496e-05; -2.3021e-07; 0; 0; -2.87187; -3.49869e-07
0.48; -2.87088; -2.32819e-05; 0.00631579; 0; 0; 6.07492e-05; 3.06946e-07; 0; 0; -2.87086; -3.69656e-07
0.496; -2.86976; -1.62335e-05; -0.0126316; 0; 0; 6.97486e-05; 4.40523e-07; 0; 0; -2.86986; -3.89332e-07
0.512; -2.86897; -2.62375e-05; -3.46945e-18; 0; 0; 4.94961e-05; -6.25247e-07; 0; 0; -2.86885; -4.08874e-07
0.528; -2.86771; -2.62375e-05; -0.00631579; 0; 0; 7.875e-05; -2.73219e-22; 0; 0; -2.86785; -4.28261e-07
0.544; -2.86681; -3.19216e-05; 0.00757895; 0; 0; 5.62489e-05; -3.55261e-07; 0; 0; -2.86684; -4.47471e-07
0.56; -2.86584; -2.4555e-05; -0.00126316; 0; 0; 6.07483e-05; 4.60417e-07; 0; 0; -2.86584; -4.66484e-07
0.576; -2.86501; -2.56009e-05; -5.85469e-18; 0; 0; 5.175e-05; -6.53684e-08; 0; 0; -2.86483; -4.85279e-07
0.592; -2.86368; -2.56009e-05; -0.00631579; 0; 0; 8.325e-05; -4.87403e-22; 0; 0; -2.86383; -5.03838e-07
0.608; -2.86281; -3.10577e-05; -0.00126316; 0; 0; 5.39989e-05; -3.4105e-07; 0; 0; -2.86282; -5.22141e-07
0.624; -2.8618; -3.23309e-05; -0.00126316; 0; 0; 6.29999e-05; -7.95789e-08; 0; 0; -2.86182; -5.4017e-07
0.64; -2.86087; -3.35133e-05; 0.00631579; 0; 0; 5.85e-05; -7.38947e-08; 0; 0; -2.86081; -5.57909e-07
0.656; -2.85961; -2.55554e-05; -9.54098e-18; 0; 0; 7.87484e-05; 4.97365e-07; 0; 0; -2.85981; -5.75339e-07
0.672; -2.85874; -2.55554e-05; 0.00252632; 0; 0; 5.4e-05; -5.15213e-22; 0; 0; -2.8588; -5.92447e-07
0.688; -2.85799; -2.36455e-05; 0.00378947; 0; 0; 4.72498e-05; 1.19368e-07; 0; 0; -2.8578; -6.09216e-07
0.704; -2.85687; -1.94165e-05; 0.00252632; 0; 0; 6.97495e-05; 2.64315e-07; 0; 0; -2.85679; -6.25412e-07
0.72; -2.85597; -1.71428e-05; -0.00378947; 0; 0; 5.62498e-05; 1.42105e-07; 0; 0; -2.85579; -6.41493e-07
0.736; -2.85478; -2.16447e-05; 0.00252632; 0; 0; 7.42495e-05; -2.81368e-07; 0; 0; -2.85478; -6.57183e-07
0.752; -2.85363; -1.87344e-05; 0.00757895; 0; 0; 7.19998e-05; 1.81895e-07; 0; 0; -2.85378; -6.72407e-07
0.768; -2.85298; -1.38233e-05; -0.00757895; 0; 0; 4.04988e-05; 3.06944e-07; 0; 0; -2.85277; -6.87071e-07
0.784; -2.85172; -2.33726e-05; -0.00378947; 0; 0; 7.87477e-05; -5.96836e-07; 0; 0; -2.85177; -7.01056e-07
0.8; -2.85097; -2.62375e-05; 0.00757895; 0; 0; 4.72497e-05; -1.79052e-07; 0; 0; -2.85076; -7.14247e-07
0.816; -2.85; -1.88708e-05; 0.00378947; 0; 0; 6.07483e-05; 4.60417e-07; 0; 0; -2.84976; -7.2653e-07
0.832; -2.84845; -1.30047e-05; -0.0101053; 0; 0; 9.67493e-05; 3.66631e-07; 0; 0; -2.84876; -7.37801e-07
0.848; -2.84755; -2.20993e-05; -0.00631579; 0; 0; 5.62471e-05; -5.68411e-07; 0; 0; -2.84775; -7.47957e-07
0.864; -2.84697; -2.57372e-05; 0.00126316; 0; 0; 3.59993e-05; -2.27367e-07; 0; 0; -2.84675; -7.56904e-07
0.88; -2.84589; -2.4373e-05; -0.00631579; 0; 0; 6.74999e-05; 8.52631e-08; 0; 0; -2.84574; -7.64555e-07
0.896; -2.84452; -3.30129e-05; 0.00631579; 0; 0; 8.54983e-05; -5.39996e-07; 0; 0; -2.84474; -7.70829e-07
0.912; -2.8438; -2.84656e-05; 0.00126316; 0; 0; 4.49991e-05; 2.84209e-07; 0; 0; -2.84373; -7.75654e-07
0.928; -2.84276; -2.71468e-05; 0.00252632; 0; 0; 6.52499e-05; 8.2421e-08; 0; 0; -2.84273; -7.78965e-07
0.944; -2.84161; -2.42365e-05; -0.00252632; 0; 0; 7.19998e-05; 1.81895e-07; 0; 0; -2.84172; -7.80705e-07
0.96; -2.84082; -2.62373e-05; 0.00505263; 0; 0; 4.94998e-05; -1.25052e-07; 0; 0; -2.84072; -7.80826e-07
0.976; -2.83974; -2.07805e-05; -0.00252632; 0; 0; 6.74991e-05; 3.41051e-07; 0; 0; -2.83971; -7.7929e-07
0.992; -2.83862; -2.35999e-05; -0.00126316; 0; 0; 6.97498e-05; -1.7621e-07; 0; 0; -2.83871; -7.76066e-07
1.008; -2.83789; -2.32559e-05; 0.00631579; -2.8377; -7.71133e-07; 4.61286e-05; 7.8239e-08; 0; 0; -2.8377; -7.71133e-07
1.024; -2.83674; -1.59801e-05; 0.00126316; -2.8377; -7.71133e-07; 7.19986e-05; 4.54734e-07; 0; 0; -2.8367; -7.64477e-07
1.04; -2.83559; -1.4525e-05; 0.00631579; -2.8377; -7.71133e-07; 7.19999e-05; 9.09473e-08; 0; 0; -2.83569; -7.56094e-07
1.056; -2.83465; -8.61343e-06; 0.00378947; -2.8377; -7.71133e-07; 5.84988e-05; 3.69471e-07; 0; 0; -2.83469; -7.45992e-07
1.072; -2.83332; -3.56586e-06; 0.00252632; -2.8377; -7.71133e-07; 8.32494e-05; 3.15473e-07; 0; 0; -2.83368; -7.34183e-07
1.088; -2.83271; -2.01976e-06; -0.00378947; -2.8377; -7.71133e-07; 3.82499e-05; 9.66315e-08; 0; 0; -2.83268; -7.20691e-07
1.104; -2.8317; -5.83954e-06; -0.00378947; -2.8377; -7.71133e-07; 6.29995e-05; -2.38736e-07; 0; 0; -2.83167; -7.05548e-07
1.12; -2.83076; -9.38647e-06; -0.00126316; -2.8377; -7.71133e-07; 5.84996e-05; -2.21684e-07; 0; 0; -2.83067; -6.88795e-07
1.136; -2.82957; -1.08871e-05; -0.00252632; -2.8377; -7.71133e-07; 7.42499e-05; -9.37894e-08; 0; 0; -2.82966; -6.70482e-07
1.152; -2.8286; -1.33427e-05; 0.00126316; -2.8377; -7.71133e-07; 6.07498e-05; -1.53474e-07; 0; 0; -2.82866; -6.50667e-07
1.168; -2.8277; -1.22058e-05; -0.00505263; -2.8377; -7.71133e-07; 5.625e-05; 7.10526e-08; 0; 0; -2.82765; -6.29416e-07
1.184; -2.82662; -1.76627e-05; 0.00505263; -2.8377; -7.71133e-07; 6.74991e-05; -3.41051e-07; 0; 0; -2.82665; -6.06804e-07
1.2; -2.82543; -1.16602e-05; 0.00378947; -2.8377; -7.71133e-07; 7.42491e-05; 3.75156e-07; 0; 0; -2.82564; -5.82913e-07
1.216; -2.82486; -9.47743e-06; 0.00378947; -2.8377; -7.71133e-07; 3.59997e-05; 1.36421e-07; 0; 0; -2.82464; -5.57834e-07
1.232; -2.82371; -5.11196e-06; -0.00378947; -2.8377; -7.71133e-07; 7.19995e-05; 2.72841e-07; 0; 0; -2.82364; -5.31664e-07
1.248; -2.82273; -8.79532e-06; -0.00252632; -2.8377; -7.71133e-07; 6.07496e-05; -2.3021e-07; 0; 0; -2.82263; -5.04509e-07
