time; fitness; orientation; distance; velocity;
0.016; 0; 0; 0; 0;
0.032; 0.327536; 0.986334; 0.541249; 0.613534;
0.048; 0.178678; 0.972847; 0.540523; 0.33979;
0.064; 0.320112; 0.959211; 0.53917; 0.61896;
0.08; 0.316129; 0.945748; 0.537818; 0.621519;
0.096; 0.313119; 0.93236; 0.536475; 0.626003;
0.112; 0.331569; 0.923922; 0.53536; 0.670336;
0.128; 0.34152; 0.9212; 0.534382; 0.693762;
0.144; 0.338845; 0.918613; 0.533414; 0.691518;
0.16; 0.340067; 0.916076; 0.532466; 0.697175;
0.176; 0.219491; 0.913648; 0.532243; 0.451364;
0.192; 0.218196; 0.910379; 0.532042; 0.450483;
0.208; 0.209793; 0.907254; 0.531815; 0.434812;
0.224; 0.208147; 0.904326; 0.531612; 0.432963;
0.24; 0.204927; 0.901598; 0.531434; 0.427697;
0.256; 0.268375; 0.89862; 0.530965; 0.562471;
0.272; 0.245978; 0.891247; 0.530378; 0.520372;
0.288; 0.180018; 0.88351; 0.530175; 0.384313;
0.304; 0.202506; 0.880479; 0.530177; 0.433809;
0.32; 0.199415; 0.877552; 0.5302; 0.428593;
0.336; 0.195915; 0.874619; 0.530235; 0.422454;
0.352; 0.193919; 0.871734; 0.530294; 0.419489;
0.368; 0.1857; 0.868742; 0.530319; 0.403073;
0.384; 0.182748; 0.86539; 0.530363; 0.39817;
0.4; 0.184755; 0.861421; 0.530473; 0.404313;
0.416; 0.18222; 0.858152; 0.530599; 0.40019;
0.432; 0.179654; 0.854916; 0.530739; 0.395943;
0.448; 0.177053; 0.851681; 0.530893; 0.391579;
0.464; 0.173422; 0.848475; 0.531061; 0.384876;
0.48; 0.163722; 0.845316; 0.531143; 0.364651;
0.496; 0.164455; 0.84176; 0.531283; 0.367732;
0.512; 0.162813; 0.838204; 0.531439; 0.365499;
0.528; 0.160182; 0.834589; 0.531609; 0.361035;
0.544; 0.15265; 0.831016; 0.531741; 0.345453;
0.56; 0.150583; 0.827443; 0.531883; 0.342155;
0.576; 0.147269; 0.823882; 0.532036; 0.335975;
0.592; 0.145863; 0.820389; 0.532199; 0.33408;
0.608; 0.149359; 0.815909; 0.532336; 0.343878;
0.624; 0.156211; 0.810758; 0.532382; 0.361906;
0.64; 0.154917; 0.805277; 0.532439; 0.361313;
0.656; 0.151529; 0.79924; 0.532507; 0.356036;
0.672; 0.151673; 0.794968; 0.532633; 0.358204;
0.688; 0.14827; 0.791147; 0.532766; 0.351771;
0.704; 0.14297; 0.78745; 0.532865; 0.340725;
0.72; 0.143533; 0.783705; 0.53302; 0.343602;
0.736; 0.138987; 0.779626; 0.533135; 0.334389;
0.752; 0.1389; 0.774563; 0.533241; 0.336296;
0.768; 0.135936; 0.770459; 0.533414; 0.330765;
0.784; 0.130818; 0.766494; 0.533553; 0.319876;
0.8; 0.128232; 0.762531; 0.533699; 0.315096;
0.816; 0.12881; 0.757927; 0.53381; 0.318372;
0.832; 0.123374; 0.754043; 0.533973; 0.306414;
0.848; 0.12414; 0.750177; 0.534193; 0.309777;
0.864; 0.119368; 0.746382; 0.534375; 0.299281;
0.88; 0.117564; 0.74261; 0.534566; 0.29615;
0.896; 0.115093; 0.738861; 0.534764; 0.29129;
0.912; 0.112833; 0.73516; 0.534969; 0.286897;
0.928; 0.116498; 0.730396; 0.53522; 0.298008;
0.944; 0.108499; 0.726771; 0.535443; 0.278815;
0.96; 0.122474; 0.726135; 0.535507; 0.314963;
0.976; 0.106078; 0.722566; 0.535744; 0.274025;
0.992; 0.104798; 0.719291; 0.536048; 0.271798;
1.008; 0.117499; 0.718778; 0.536134; 0.304907;
1.024; 0.119559; 0.71828; 0.536268; 0.310389;
1.04; 0.100094; 0.715671; 0.536589; 0.260647;
1.056; 0.0941515; 0.713173; 0.536851; 0.245911;
1.072; 0.0963666; 0.711946; 0.536893; 0.252111;
1.088; 0.0981059; 0.708234; 0.536932; 0.257988;
1.104; 0.0931607; 0.706728; 0.53713; 0.245415;
1.12; 0.0954494; 0.701997; 0.537166; 0.253122;
1.136; 0.0924101; 0.700415; 0.53736; 0.245526;
1.152; 0.0991905; 0.694538; 0.537371; 0.265766;
1.168; 0.0942694; 0.692744; 0.537676; 0.253091;
1.184; 0.0828847; 0.686957; 0.537914; 0.224301;
1.2; 0.105922; 0.687875; 0.538042; 0.286194;
1.216; 0.0844032; 0.686892; 0.538338; 0.228252;
1.232; 0.0982431; 0.682582; 0.538398; 0.267328;
1.248; 0.105574; 0.682982; 0.538578; 0.287012;
1.264; 0.0849264; 0.681869; 0.538906; 0.231115;
1.28; 0.0835546; 0.680795; 0.539236; 0.227602;
1.296; 0.104029; 0.68097; 0.539373; 0.283229;
1.312; 0.102656; 0.680828; 0.539542; 0.279461;
1.328; 0.103127; 0.680695; 0.53965; 0.280743;
