time; fitness; orientation; distance; velocity;
0.016; 0; 0; 0; 0;
0.032; 0.541647; 0.99909; 0.552346; 0.981522;
0.048; 0.242261; 0.999013; 0.552349; 0.439034;
0.064; 0.545891; 0.99862; 0.552353; 0.989667;
0.08; 0.5436; 0.998158; 0.552357; 0.985963;
0.096; 0.543088; 0.997697; 0.552362; 0.98548;
0.112; 0.5436; 0.997298; 0.552368; 0.986792;
0.128; 0.544056; 0.99693; 0.552376; 0.987972;
0.144; 0.543526; 0.996537; 0.552384; 0.987384;
0.16; 0.542755; 0.9961; 0.552393; 0.9864;
0.176; 0.542419; 0.995691; 0.552403; 0.986176;
0.192; 0.5436; 0.995365; 0.552414; 0.988627;
0.208; 0.543251; 0.994994; 0.552426; 0.98834;
0.224; 0.542809; 0.994635; 0.552438; 0.987869;
0.24; 0.542518; 0.994272; 0.552452; 0.987676;
0.256; 0.542803; 0.993934; 0.552466; 0.988506;
0.272; 0.542897; 0.993633; 0.552481; 0.988949;
0.288; 0.542603; 0.993322; 0.552497; 0.988694;
0.304; 0.541944; 0.99297; 0.552514; 0.987815;
0.32; 0.542135; 0.992637; 0.552531; 0.988463;
0.336; 0.541921; 0.992294; 0.552549; 0.988381;
0.352; 0.542209; 0.992007; 0.552568; 0.989159;
0.368; 0.542941; 0.991728; 0.552588; 0.990737;
0.384; 0.541801; 0.991408; 0.552609; 0.988938;
0.4; 0.542387; 0.991128; 0.55263; 0.99025;
0.416; 0.543468; 0.990916; 0.552652; 0.992397;
0.432; 0.54229; 0.990657; 0.552674; 0.990465;
0.448; 0.541511; 0.990351; 0.552697; 0.989308;
0.464; 0.542049; 0.990091; 0.55272; 0.990508;
0.48; 0.542573; 0.989868; 0.552745; 0.991644;
0.496; 0.542402; 0.98963; 0.55277; 0.991527;
0.512; 0.542391; 0.98942; 0.552795; 0.991671;
0.528; 0.541885; 0.989174; 0.552821; 0.990947;
0.544; 0.542144; 0.988949; 0.552847; 0.991597;
0.56; 0.542338; 0.988761; 0.552874; 0.992092;
0.576; 0.542606; 0.988583; 0.552902; 0.992712;
0.592; 0.542559; 0.988436; 0.55293; 0.992722;
0.608; 0.542691; 0.988259; 0.552958; 0.993092;
0.624; 0.542195; 0.98807; 0.552987; 0.992324;
0.64; 0.541804; 0.987842; 0.553016; 0.991785;
0.656; 0.542085; 0.987648; 0.553046; 0.992439;
0.672; 0.542376; 0.987477; 0.553076; 0.993089;
0.688; 0.542893; 0.98736; 0.553107; 0.994098;
