time; fitness; orientation; distance; velocity;
0.016; 0; 0; 0; 0;
0.032; 0.106935; 0.976815; 0.549947; 0.199062;
0.048; 0.100641; 0.953482; 0.549928; 0.191935;
0.064; 0.12502; 0.932101; 0.54994; 0.243895;
0.08; 0.154781; 0.91333; 0.549997; 0.308128;
0.096; 0.1846; 0.897394; 0.550103; 0.373942;
0.112; 0.204232; 0.882522; 0.550252; 0.420569;
0.128; 0.21569; 0.868247; 0.550428; 0.451322;
0.144; 0.230306; 0.855395; 0.550629; 0.488967;
0.16; 0.240646; 0.843744; 0.550805; 0.517809;
0.176; 0.246847; 0.832913; 0.551004; 0.537865;
0.192; 0.251487; 0.82274; 0.551228; 0.554526;
0.208; 0.256625; 0.813387; 0.551475; 0.572105;
0.224; 0.262038; 0.804842; 0.551745; 0.590085;
0.24; 0.265829; 0.796951; 0.552037; 0.60423;
0.256; 0.267801; 0.789589; 0.552347; 0.614042;
0.272; 0.270066; 0.782631; 0.552678; 0.624369;
0.288; 0.271775; 0.775997; 0.553026; 0.633291;
0.304; 0.27184; 0.769597; 0.553387; 0.638294;
0.32; 0.273434; 0.763613; 0.553769; 0.646622;
0.336; 0.275196; 0.758052; 0.554171; 0.655088;
0.352; 0.272663; 0.752676; 0.554581; 0.653211;
0.368; 0.268115; 0.74765; 0.554998; 0.646147;
0.384; 0.265483; 0.743367; 0.555431; 0.642989;
0.4; 0.264078; 0.739984; 0.55588; 0.641991;
0.416; 0.262344; 0.737355; 0.556343; 0.639518;
0.432; 0.262201; 0.735378; 0.556822; 0.640335;
0.448; 0.258688; 0.733935; 0.557307; 0.632448;
0.464; 0.256871; 0.733035; 0.557799; 0.628222;
0.48; 0.25737; 0.732811; 0.558306; 0.629063;
0.496; 0.258321; 0.733077; 0.558826; 0.630569;
0.512; 0.259757; 0.733705; 0.559361; 0.632928;
0.528; 0.257475; 0.734519; 0.559893; 0.626075;
0.544; 0.255023; 0.735507; 0.560422; 0.618696;
0.56; 0.257104; 0.737003; 0.560964; 0.621877;
0.576; 0.260407; 0.739066; 0.561523; 0.627482;
0.592; 0.263586; 0.741418; 0.562094; 0.632485;
0.608; 0.264938; 0.743807; 0.56267; 0.633038;
0.624; 0.265956; 0.746116; 0.563247; 0.632854;
0.64; 0.268127; 0.748746; 0.563833; 0.635119;
0.656; 0.271022; 0.75154; 0.564425; 0.63892;
0.672; 0.272542; 0.754253; 0.565019; 0.639518;
0.688; 0.274421; 0.756909; 0.565616; 0.640992;
0.704; 0.276441; 0.759538; 0.566216; 0.642791;
0.72; 0.279536; 0.76226; 0.566825; 0.646973;
