time; fitness; orientation; distance; velocity;
0.016; 0; 0; 0; 0;
0.032; 0.284571; 0.988272; 0.549975; 0.523567;
0.048; 0.264446; 0.975334; 0.549984; 0.492986;
0.064; 0.277922; 0.963693; 0.550012; 0.524338;
0.08; 0.282708; 0.95279; 0.550059; 0.539425;
0.096; 0.291134; 0.942983; 0.550129; 0.56121;
0.112; 0.289999; 0.933477; 0.550216; 0.564624;
0.128; 0.288222; 0.924258; 0.550319; 0.566656;
0.144; 0.289208; 0.915615; 0.550442; 0.573834;
0.16; 0.290099; 0.90744; 0.550582; 0.580639;
0.176; 0.290004; 0.899626; 0.550741; 0.585321;
0.192; 0.289491; 0.892182; 0.550918; 0.588973;
0.208; 0.289265; 0.885179; 0.551109; 0.592963;
0.224; 0.289679; 0.878543; 0.551305; 0.598084;
0.24; 0.28921; 0.872279; 0.551516; 0.601174;
0.256; 0.288557; 0.866279; 0.551741; 0.603723;
0.272; 0.288152; 0.860572; 0.551983; 0.60661;
0.288; 0.286634; 0.855171; 0.552237; 0.606945;
0.304; 0.284257; 0.850104; 0.552504; 0.605208;
0.32; 0.283228; 0.845474; 0.552783; 0.606012;
0.336; 0.282078; 0.841225; 0.553073; 0.606281;
0.352; 0.281383; 0.837273; 0.553374; 0.607313;
0.368; 0.279046; 0.833478; 0.553684; 0.604671;
0.384; 0.277448; 0.829979; 0.554005; 0.603395;
0.4; 0.276321; 0.826778; 0.554335; 0.60291;
0.416; 0.275112; 0.82383; 0.554672; 0.602055;
0.432; 0.274201; 0.821091; 0.555019; 0.601687;
0.448; 0.27187; 0.818562; 0.55537; 0.598036;
0.464; 0.270422; 0.816231; 0.555726; 0.596168;
0.48; 0.269651; 0.814195; 0.556089; 0.595565;
0.496; 0.269077; 0.812333; 0.556458; 0.595265;
0.512; 0.268111; 0.810656; 0.556832; 0.593955;
0.528; 0.267192; 0.808946; 0.557211; 0.592766;
0.544; 0.265448; 0.807323; 0.557592; 0.589679;
0.56; 0.26505; 0.80596; 0.557978; 0.589382;
0.576; 0.264921; 0.804876; 0.558369; 0.589477;
0.592; 0.264954; 0.8039; 0.558764; 0.589848;
0.608; 0.264188; 0.802969; 0.559162; 0.588405;
0.624; 0.263473; 0.80204; 0.559563; 0.587072;
0.64; 0.262768; 0.80139; 0.559967; 0.585554;
0.656; 0.263401; 0.800758; 0.560374; 0.587;
0.672; 0.262512; 0.800175; 0.560782; 0.58502;
0.688; 0.262294; 0.799578; 0.561194; 0.58454;
0.704; 0.261579; 0.799131; 0.561607; 0.582846;
0.72; 0.261923; 0.79877; 0.562023; 0.583443;
0.736; 0.261562; 0.798353; 0.56244; 0.58251;
0.752; 0.260973; 0.797924; 0.562858; 0.581078;
0.768; 0.260642; 0.797489; 0.563278; 0.580227;
0.784; 0.260234; 0.79716; 0.563699; 0.579124;
0.8; 0.260331; 0.796888; 0.564123; 0.579103;
0.816; 0.260139; 0.796803; 0.564549; 0.578299;
0.832; 0.26072; 0.796645; 0.564977; 0.579268;
0.848; 0.259951; 0.796585; 0.565405; 0.577164;
0.864; 0.26054; 0.79653; 0.565835; 0.578073;
0.88; 0.21515; 0.805359; 0.566086; 0.471923;
0.896; 0.266384; 0.80517; 0.566507; 0.584005;
0.912; 0.26569; 0.804757; 0.566922; 0.582355;
0.928; 0.219615; 0.813411; 0.567179; 0.476027;
0.944; 0.272652; 0.8126; 0.567582; 0.591159;
0.96; 0.241296; 0.818652; 0.567889; 0.519025;
0.976; 0.207056; 0.831067; 0.568084; 0.43857;
0.992; 0.210928; 0.843361; 0.568281; 0.440107;
1.008; 0.267813; 0.848114; 0.568557; 0.555397;
1.024; 0.247876; 0.854123; 0.568787; 0.510228;
1.04; 0.268372; 0.858163; 0.569034; 0.549577;
1.056; 0.272591; 0.861794; 0.569278; 0.555627;
1.072; 0.27303; 0.86525; 0.569513; 0.55407;
1.088; 0.242249; 0.872995; 0.569705; 0.487079;
1.104; 0.283588; 0.875504; 0.56992; 0.56835;
1.12; 0.272335; 0.879684; 0.570119; 0.543015;
1.136; 0.282775; 0.881692; 0.570313; 0.562356;
1.152; 0.281086; 0.885276; 0.570501; 0.55655;
1.168; 0.267019; 0.892697; 0.570656; 0.524161;
1.184; 0.275996; 0.899346; 0.570802; 0.537639;
1.2; 0.280113; 0.903398; 0.570929; 0.543091;
1.216; 0.295461; 0.906026; 0.571054; 0.571061;
1.232; 0.293179; 0.90847; 0.571166; 0.565014;
1.248; 0.294893; 0.910879; 0.57127; 0.566713;
1.264; 0.277504; 0.915538; 0.571348; 0.530509;
1.28; 0.281793; 0.919488; 0.571414; 0.536332;
1.296; 0.290155; 0.922307; 0.571467; 0.550509;
1.312; 0.284736; 0.92505; 0.571504; 0.538589;
1.328; 0.281655; 0.927304; 0.57154; 0.531433;
1.344; 0.287395; 0.926239; 0.571563; 0.542865;
1.36; 0.283106; 0.92313; 0.571575; 0.536554;
1.376; 0.2964; 0.923332; 0.57157; 0.561631;
1.392; 0.284815; 0.920399; 0.571565; 0.541403;
1.408; 0.294734; 0.923188; 0.571546; 0.558584;
1.424; 0.288122; 0.92608; 0.571541; 0.544353;
1.44; 0.290292; 0.927088; 0.571545; 0.547853;
1.456; 0.294025; 0.929666; 0.571549; 0.553355;
1.472; 0.292413; 0.932152; 0.571563; 0.54884;
1.488; 0.292634; 0.934135; 0.571585; 0.548069;
1.504; 0.29261; 0.933508; 0.571615; 0.548362;
1.52; 0.292747; 0.932538; 0.571652; 0.549154;
1.536; 0.294222; 0.931583; 0.571696; 0.552444;
1.552; 0.29398; 0.930813; 0.571746; 0.552398;
1.568; 0.294296; 0.929965; 0.571802; 0.553442;
1.584; 0.293993; 0.929189; 0.571864; 0.553275;
1.6; 0.293811; 0.928608; 0.571931; 0.553213;
1.616; 0.295648; 0.928148; 0.572003; 0.556878;
1.632; 0.295924; 0.927763; 0.57208; 0.557553;
1.648; 0.296983; 0.927443; 0.572161; 0.559663;
1.664; 0.294886; 0.92705; 0.572245; 0.555865;
1.68; 0.295367; 0.926743; 0.572333; 0.55687;
1.696; 0.295865; 0.926496; 0.572424; 0.557869;
1.712; 0.295733; 0.926239; 0.572519; 0.557682;
1.728; 0.294682; 0.926118; 0.572617; 0.555678;
1.744; 0.296855; 0.926059; 0.572719; 0.559712;
1.76; 0.297269; 0.926211; 0.572823; 0.560299;
1.776; 0.298678; 0.926186; 0.57293; 0.562864;
1.792; 0.297522; 0.926214; 0.573039; 0.560562;
1.808; 0.297799; 0.926337; 0.57315; 0.560901;
1.824; 0.298694; 0.926594; 0.573263; 0.562319;
1.84; 0.299222; 0.926636; 0.573378; 0.563174;
1.856; 0.29809; 0.926614; 0.573493; 0.560945;
1.872; 0.296998; 0.926858; 0.57361; 0.558629;
1.888; 0.298901; 0.926901; 0.573729; 0.562066;
1.904; 0.298324; 0.926814; 0.573849; 0.560917;
1.92; 0.298307; 0.926823; 0.573971; 0.56076;
1.936; 0.299446; 0.926741; 0.574094; 0.562831;
1.952; 0.298083; 0.926649; 0.574217; 0.560204;
1.968; 0.298465; 0.926542; 0.574342; 0.560864;
1.984; 0.297965; 0.926599; 0.574467; 0.559769;
2; 0.299193; 0.92666; 0.574593; 0.561916;
2.016; 0.299587; 0.926679; 0.574721; 0.562517;
2.032; 0.299669; 0.92673; 0.574849; 0.562517;
2.048; 0.299179; 0.926764; 0.574977; 0.56145;
2.064; 0.298748; 0.92683; 0.575106; 0.560476;
2.08; 0.298793; 0.927064; 0.575235; 0.560293;
2.096; 0.300015; 0.927248; 0.575365; 0.562346;
2.112; 0.29996; 0.927388; 0.575495; 0.56203;
2.128; 0.300203; 0.927536; 0.575626; 0.56227;
2.144; 0.299628; 0.927748; 0.575756; 0.560936;
2.16; 0.300627; 0.927908; 0.575887; 0.562582;
2.176; 0.300917; 0.928072; 0.576019; 0.562896;
2.192; 0.300356; 0.928333; 0.57615; 0.561561;
2.208; 0.300363; 0.928572; 0.576281; 0.561303;
2.224; 0.301059; 0.928877; 0.576412; 0.562289;
2.24; 0.300876; 0.928956; 0.576543; 0.561773;
2.256; 0.299578; 0.929198; 0.576673; 0.559078;
2.272; 0.301389; 0.929379; 0.576804; 0.562219;
2.288; 0.300127; 0.929604; 0.576934; 0.559603;
2.304; 0.301226; 0.929784; 0.577066; 0.561416;
2.32; 0.300772; 0.929948; 0.577196; 0.560346;
2.336; 0.300329; 0.930151; 0.577326; 0.559271;
2.352; 0.301789; 0.930443; 0.577457; 0.561686;
2.368; 0.302766; 0.93061; 0.577589; 0.563275;
2.384; 0.301176; 0.930731; 0.577718; 0.560118;
2.4; 0.30154; 0.930961; 0.577848; 0.560531;
2.416; 0.302023; 0.931188; 0.577978; 0.561166;
2.432; 0.302029; 0.93148; 0.578108; 0.560876;
2.448; 0.302908; 0.931656; 0.578238; 0.562274;
2.464; 0.300927; 0.931925; 0.578365; 0.558314;
2.48; 0.303478; 0.932372; 0.578495; 0.562651;
2.496; 0.304909; 0.932711; 0.578625; 0.564971;
2.512; 0.303179; 0.932987; 0.578752; 0.561476;
2.528; 0.303247; 0.933283; 0.57888; 0.5613;
2.544; 0.303861; 0.933538; 0.579007; 0.56216;
2.56; 0.303421; 0.933783; 0.579133; 0.561075;
2.576; 0.303375; 0.933989; 0.579259; 0.560746;
2.592; 0.303172; 0.934308; 0.579384; 0.560057;
2.608; 0.305502; 0.934642; 0.579511; 0.564036;
2.624; 0.304812; 0.93475; 0.579637; 0.562575;
2.64; 0.302195; 0.934958; 0.579759; 0.557503;
2.656; 0.304468; 0.935375; 0.579884; 0.561326;
2.672; 0.305696; 0.935623; 0.580008; 0.56332;
2.688; 0.304009; 0.935936; 0.580131; 0.559905;
2.704; 0.30586; 0.936225; 0.580255; 0.563019;
2.72; 0.304522; 0.936513; 0.580376; 0.560266;
2.736; 0.305573; 0.936653; 0.580499; 0.561999;
2.752; 0.303824; 0.936825; 0.580619; 0.558564;
2.768; 0.3048; 0.937131; 0.580739; 0.560059;
2.784; 0.306074; 0.937443; 0.580861; 0.562095;
2.8; 0.305763; 0.937789; 0.580981; 0.561201;
2.816; 0.307221; 0.938021; 0.581102; 0.56362;
2.832; 0.30564; 0.938229; 0.581221; 0.560481;
2.848; 0.30586; 0.938469; 0.581339; 0.560627;
2.864; 0.305888; 0.938748; 0.581456; 0.560397;
2.88; 0.306224; 0.938974; 0.581574; 0.560764;
2.896; 0.305651; 0.939189; 0.58169; 0.559477;
2.912; 0.306188; 0.939409; 0.581806; 0.560216;
2.928; 0.306397; 0.939637; 0.581922; 0.56035;
2.944; 0.306343; 0.939902; 0.582037; 0.559984;
2.96; 0.307022; 0.940239; 0.582152; 0.560913;
2.976; 0.307474; 0.940524; 0.582267; 0.561456;
2.992; 0.307138; 0.940707; 0.582381; 0.560625;
3.008; 0.306274; 0.940954; 0.582493; 0.558793;
3.024; 0.307593; 0.941086; 0.582606; 0.561011;
3.04; 0.305557; 0.941215; 0.582717; 0.557117;
3.056; 0.306396; 0.941465; 0.582829; 0.55839;
3.072; 0.307417; 0.94177; 0.582941; 0.559963;
3.088; 0.308708; 0.942143; 0.583053; 0.561982;
3.104; 0.308756; 0.942411; 0.583165; 0.561803;
3.12; 0.307906; 0.942743; 0.583275; 0.559953;
3.136; 0.309315; 0.942932; 0.583386; 0.562296;
3.152; 0.306971; 0.943288; 0.583494; 0.557719;
3.168; 0.309592; 0.943484; 0.583604; 0.56226;
3.184; 0.307897; 0.943767; 0.583712; 0.55891;
3.2; 0.30954; 0.944005; 0.583821; 0.561646;
3.216; 0.308809; 0.944198; 0.583928; 0.560102;
3.232; 0.308246; 0.944408; 0.584035; 0.558854;
3.248; 0.309189; 0.944622; 0.584142; 0.560335;
3.264; 0.308737; 0.944856; 0.584248; 0.559276;
3.28; 0.309066; 0.945157; 0.584354; 0.559593;
3.296; 0.309815; 0.945497; 0.584459; 0.560646;
3.312; 0.310388; 0.945737; 0.584565; 0.561438;
3.328; 0.309615; 0.946043; 0.584669; 0.559758;
3.344; 0.31106; 0.946328; 0.584774; 0.5621;
3.36; 0.310886; 0.946563; 0.584879; 0.561547;
3.376; 0.309761; 0.946814; 0.584981; 0.559269;
3.392; 0.310631; 0.94691; 0.585084; 0.560683;
3.408; 0.308725; 0.947146; 0.585185; 0.557008;
3.424; 0.310659; 0.947346; 0.585287; 0.560282;
3.44; 0.310091; 0.947625; 0.585389; 0.558996;
3.456; 0.311807; 0.947817; 0.585491; 0.561878;
3.472; 0.309614; 0.947994; 0.585591; 0.557726;
