time; fitness; orientation; distance; velocity;
0.016; 0; 0; 0; 0;
0.032; 0.190572; 0.984199; 0.552348; 0.350561;
0.048; 0.176633; 0.967756; 0.552366; 0.33043;
0.064; 0.186181; 0.952117; 0.552398; 0.353993;
0.08; 0.190192; 0.937147; 0.552444; 0.367364;
0.096; 0.196238; 0.923107; 0.552508; 0.384762;
0.112; 0.198794; 0.909751; 0.552593; 0.395434;
0.128; 0.200723; 0.897161; 0.552699; 0.404798;
0.144; 0.202707; 0.885282; 0.552826; 0.414189;
0.16; 0.20333; 0.874047; 0.552974; 0.420691;
0.176; 0.201797; 0.86339; 0.55314; 0.422544;
0.192; 0.201506; 0.853374; 0.553325; 0.426745;
0.208; 0.201577; 0.844178; 0.553529; 0.431387;
0.224; 0.200161; 0.835525; 0.55375; 0.432619;
0.24; 0.197782; 0.827469; 0.553984; 0.431457;
0.256; 0.196922; 0.819962; 0.554235; 0.433317;
0.272; 0.194978; 0.81293; 0.554499; 0.432546;
0.288; 0.193877; 0.806416; 0.554778; 0.433358;
0.304; 0.192842; 0.800369; 0.55507; 0.434075;
0.32; 0.191029; 0.794572; 0.555374; 0.432892;
0.336; 0.188848; 0.789154; 0.555688; 0.430646;
0.352; 0.18732; 0.78427; 0.556013; 0.429569;
0.368; 0.185889; 0.779698; 0.556347; 0.42853;
0.384; 0.183944; 0.77541; 0.556687; 0.426131;
0.4; 0.182574; 0.771511; 0.557034; 0.424829;
0.416; 0.181319; 0.767947; 0.557387; 0.4236;
0.432; 0.180189; 0.764623; 0.557745; 0.422519;
0.448; 0.177804; 0.76146; 0.558108; 0.418385;
0.464; 0.175979; 0.758595; 0.558478; 0.41538;
0.48; 0.175248; 0.756148; 0.558855; 0.414712;
0.496; 0.174698; 0.753954; 0.559238; 0.41433;
0.512; 0.173761; 0.751966; 0.559624; 0.412911;
0.528; 0.173057; 0.750097; 0.560015; 0.411975;
0.544; 0.171931; 0.748277; 0.560408; 0.410003;
0.56; 0.170896; 0.746553; 0.560804; 0.408189;
0.576; 0.17011; 0.745062; 0.561204; 0.406833;
0.592; 0.169697; 0.743649; 0.561607; 0.406325;
0.608; 0.168687; 0.742306; 0.562012; 0.404346;
0.624; 0.168224; 0.741201; 0.56242; 0.403545;
0.64; 0.168052; 0.740312; 0.562831; 0.40332;
0.656; 0.167771; 0.739491; 0.563245; 0.402798;
0.672; 0.167248; 0.738671; 0.56366; 0.401691;
0.688; 0.16662; 0.737883; 0.564077; 0.400314;
0.704; 0.166189; 0.737298; 0.564496; 0.3993;
0.72; 0.16633; 0.73679; 0.564916; 0.399616;
0.736; 0.165863; 0.736236; 0.565338; 0.398496;
0.752; 0.165294; 0.735749; 0.565762; 0.397094;
0.768; 0.165134; 0.735382; 0.566187; 0.396611;
0.784; 0.141987; 0.74289; 0.566481; 0.337394;
0.8; 0.147701; 0.749762; 0.566796; 0.347562;
0.816; 0.137991; 0.758713; 0.567052; 0.320738;
0.832; 0.139659; 0.767727; 0.56731; 0.320657;
0.848; 0.162373; 0.774551; 0.567631; 0.369317;
0.864; 0.166233; 0.777601; 0.567947; 0.376403;
0.88; 0.143698; 0.788519; 0.568095; 0.320787;
0.896; 0.149405; 0.798854; 0.568249; 0.329123;
0.912; 0.155534; 0.808922; 0.568403; 0.338269;
0.928; 0.160707; 0.818724; 0.56855; 0.345246;
0.944; 0.165835; 0.828108; 0.568693; 0.352136;
0.96; 0.169105; 0.837178; 0.568827; 0.355106;
0.976; 0.174709; 0.845677; 0.568957; 0.363105;
0.992; 0.178138; 0.853689; 0.569078; 0.366679;
1.008; 0.181452; 0.860175; 0.569191; 0.37061;
1.024; 0.183324; 0.864726; 0.569293; 0.372395;
1.04; 0.186553; 0.869101; 0.569388; 0.376984;
1.056; 0.188955; 0.873313; 0.569474; 0.37994;
1.072; 0.166163; 0.875977; 0.569554; 0.333047;
1.088; 0.19164; 0.878339; 0.569615; 0.383038;
1.104; 0.190002; 0.880546; 0.569668; 0.378778;
1.12; 0.190519; 0.883007; 0.569714; 0.37872;
1.136; 0.193954; 0.885186; 0.569753; 0.384572;
1.152; 0.192581; 0.887259; 0.569785; 0.380935;
1.168; 0.19234; 0.88707; 0.569812; 0.380524;
1.184; 0.186429; 0.88481; 0.569836; 0.369755;
1.2; 0.196733; 0.884912; 0.56984; 0.390144;
1.216; 0.193196; 0.885133; 0.569842; 0.383032;
1.232; 0.192033; 0.885323; 0.569841; 0.380644;
1.248; 0.193139; 0.885777; 0.569835; 0.382646;
1.264; 0.195646; 0.8857; 0.569822; 0.387656;
1.28; 0.194151; 0.885336; 0.569807; 0.384861;
1.296; 0.193889; 0.885066; 0.569788; 0.384471;
1.312; 0.192665; 0.883242; 0.569767; 0.382848;
1.328; 0.193932; 0.881682; 0.569735; 0.386069;
1.344; 0.193267; 0.881908; 0.569697; 0.384672;
1.36; 0.189085; 0.880438; 0.56966; 0.377001;
1.376; 0.189894; 0.879103; 0.569615; 0.379219;
1.392; 0.191914; 0.87979; 0.569561; 0.382989;
1.408; 0.188674; 0.880538; 0.569511; 0.376238;
1.424; 0.187053; 0.881236; 0.569463; 0.37274;
1.44; 0.188665; 0.882218; 0.569412; 0.375568;
1.456; 0.187982; 0.881453; 0.569362; 0.374566;
1.472; 0.189608; 0.880876; 0.569303; 0.378092;
1.488; 0.18795; 0.882062; 0.569241; 0.374324;
1.504; 0.186859; 0.883415; 0.569183; 0.371619;
1.52; 0.186047; 0.88242; 0.569125; 0.370458;
1.536; 0.189329; 0.88207; 0.569055; 0.37719;
1.552; 0.186583; 0.88368; 0.568986; 0.371087;
1.568; 0.18406; 0.885163; 0.568923; 0.365497;
1.584; 0.185138; 0.886731; 0.56886; 0.367026;
1.6; 0.186415; 0.888275; 0.568797; 0.368958;
1.616; 0.166105; 0.893458; 0.56876; 0.326873;
1.632; 0.168215; 0.898658; 0.568728; 0.32913;
1.648; 0.150972; 0.907139; 0.568738; 0.292624;
1.664; 0.158083; 0.915465; 0.568756; 0.30361;
1.68; 0.168965; 0.921308; 0.568781; 0.322438;
1.696; 0.17687; 0.921841; 0.568816; 0.337307;
1.712; 0.182054; 0.919494; 0.56886; 0.348052;
1.728; 0.190376; 0.91437; 0.568913; 0.365968;
1.744; 0.192708; 0.909328; 0.568986; 0.372458;
1.76; 0.197575; 0.903754; 0.569078; 0.384159;
1.776; 0.180598; 0.908503; 0.56917; 0.349256;
1.792; 0.197103; 0.912096; 0.569262; 0.379613;
1.808; 0.197036; 0.915616; 0.569343; 0.377971;
1.824; 0.200937; 0.918768; 0.569415; 0.384083;
1.84; 0.199732; 0.921926; 0.569479; 0.380429;
1.856; 0.203201; 0.924782; 0.569536; 0.385804;
1.872; 0.201329; 0.927483; 0.569586; 0.381101;
1.888; 0.201469; 0.930027; 0.56963; 0.380295;
1.904; 0.202617; 0.933881; 0.569667; 0.380858;
1.92; 0.206484; 0.935582; 0.569692; 0.387404;
1.936; 0.206115; 0.937333; 0.569707; 0.38598;
1.952; 0.201626; 0.937824; 0.569722; 0.377366;
1.968; 0.202734; 0.938382; 0.569732; 0.379207;
1.984; 0.202384; 0.9388; 0.56974; 0.378379;
2; 0.202078; 0.939268; 0.569745; 0.377615;
2.016; 0.202386; 0.939156; 0.569747; 0.378234;
2.032; 0.202075; 0.939055; 0.569746; 0.377694;
2.048; 0.204589; 0.93904; 0.569742; 0.382402;
2.064; 0.20239; 0.939074; 0.569737; 0.378281;
2.08; 0.201884; 0.939256; 0.56973; 0.377268;
2.096; 0.202152; 0.939489; 0.56972; 0.37768;
2.112; 0.203125; 0.939736; 0.569709; 0.379407;
2.128; 0.201772; 0.93998; 0.569697; 0.37679;
2.144; 0.200209; 0.940204; 0.569684; 0.37379;
2.16; 0.200449; 0.940372; 0.56967; 0.37418;
2.176; 0.200983; 0.940619; 0.569654; 0.37509;
2.192; 0.187364; 0.944467; 0.569648; 0.348251;
2.208; 0.18736; 0.947147; 0.569648; 0.347259;
2.224; 0.188867; 0.947583; 0.569655; 0.349887;
2.24; 0.189465; 0.946461; 0.569668; 0.351402;
2.256; 0.191845; 0.943992; 0.569691; 0.356733;
2.272; 0.195605; 0.939115; 0.569721; 0.365594;
2.288; 0.193091; 0.942115; 0.569757; 0.359723;
2.304; 0.203135; 0.944838; 0.569792; 0.377321;
2.32; 0.200737; 0.947206; 0.569822; 0.371916;
2.336; 0.20476; 0.948806; 0.569845; 0.378713;
2.352; 0.203665; 0.950396; 0.569866; 0.376044;
2.368; 0.202947; 0.951907; 0.569882; 0.374113;
2.384; 0.202634; 0.952906; 0.569897; 0.373136;
2.4; 0.203882; 0.953402; 0.569907; 0.375232;
2.416; 0.205456; 0.954084; 0.569913; 0.377854;
2.432; 0.201982; 0.954626; 0.569919; 0.371251;
2.448; 0.203294; 0.955084; 0.569922; 0.37348;
2.464; 0.204344; 0.955629; 0.569921; 0.375196;
2.48; 0.20448; 0.956107; 0.569919; 0.375259;
2.496; 0.189356; 0.960218; 0.569926; 0.346012;
2.512; 0.191; 0.962751; 0.569935; 0.348092;
2.528; 0.195735; 0.960878; 0.56995; 0.357407;
2.544; 0.2021; 0.958772; 0.569972; 0.369826;
2.56; 0.201979; 0.955886; 0.570003; 0.3707;
2.576; 0.198295; 0.95872; 0.570039; 0.36284;
2.592; 0.205781; 0.960262; 0.570073; 0.375912;
2.608; 0.208372; 0.961488; 0.570104; 0.380138;
2.624; 0.207805; 0.962871; 0.57013; 0.378541;
2.64; 0.208252; 0.964156; 0.570153; 0.378835;
2.656; 0.208513; 0.965212; 0.570172; 0.378882;
2.672; 0.205951; 0.966304; 0.570188; 0.373794;
2.688; 0.207602; 0.967354; 0.570202; 0.376372;
2.704; 0.207194; 0.968381; 0.570212; 0.375226;
2.72; 0.206393; 0.96854; 0.570222; 0.373709;
2.736; 0.208688; 0.968885; 0.570227; 0.377727;
2.752; 0.207126; 0.969088; 0.570232; 0.374818;
2.768; 0.20744; 0.96941; 0.570234; 0.37526;
2.784; 0.206155; 0.969503; 0.570235; 0.372899;
