time; fitness; orientation; distance; velocity;
0.016; 0; 0; 0; 0;
0.032; 0.243536; 0.985242; 0.552348; 0.447515;
0.048; 0.229675; 0.969907; 0.552369; 0.428701;
0.064; 0.238953; 0.955398; 0.552403; 0.452764;
0.08; 0.243693; 0.941656; 0.552454; 0.46844;
0.096; 0.252394; 0.929112; 0.552526; 0.491651;
0.112; 0.252739; 0.917062; 0.552618; 0.498711;
0.128; 0.254435; 0.90577; 0.552731; 0.508212;
0.144; 0.256331; 0.895191; 0.552865; 0.517924;
0.16; 0.257605; 0.885213; 0.55302; 0.526218;
0.176; 0.256638; 0.875712; 0.553194; 0.529763;
0.192; 0.257232; 0.86676; 0.553387; 0.536286;
0.208; 0.258973; 0.858516; 0.553603; 0.544888;
0.224; 0.258327; 0.850695; 0.553837; 0.548294;
0.24; 0.257334; 0.843274; 0.554089; 0.550743;
0.256; 0.257642; 0.836276; 0.55436; 0.555744;
0.272; 0.256133; 0.829638; 0.554648; 0.556621;
0.288; 0.255795; 0.823414; 0.554954; 0.559779;
0.304; 0.255582; 0.81756; 0.555278; 0.562989;
0.32; 0.254372; 0.811866; 0.555619; 0.563909;
0.336; 0.253326; 0.806371; 0.555976; 0.565053;
0.352; 0.253378; 0.801175; 0.556354; 0.568448;
0.368; 0.252753; 0.796165; 0.556749; 0.57021;
0.384; 0.250649; 0.791336; 0.557158; 0.568495;
0.4; 0.24924; 0.786847; 0.557579; 0.568094;
0.416; 0.248231; 0.782656; 0.558016; 0.568379;
0.432; 0.246666; 0.778705; 0.558466; 0.567205;
0.448; 0.244219; 0.774826; 0.558927; 0.563923;
0.464; 0.242248; 0.771194; 0.559401; 0.561531;
0.48; 0.240905; 0.768016; 0.559886; 0.560241;
0.496; 0.239552; 0.765155; 0.560381; 0.558684;
0.512; 0.237861; 0.762546; 0.560883; 0.556141;
0.528; 0.236452; 0.760123; 0.561391; 0.554107;
0.544; 0.234322; 0.757834; 0.561902; 0.550272;
0.56; 0.232475; 0.7557; 0.562419; 0.546975;
0.576; 0.23124; 0.753835; 0.562941; 0.544908;
0.592; 0.230505; 0.752085; 0.563469; 0.543929;
0.608; 0.228993; 0.750442; 0.564001; 0.541035;
0.624; 0.228293; 0.749077; 0.564537; 0.53985;
0.64; 0.227961; 0.74794; 0.56508; 0.539364;
0.656; 0.227363; 0.746877; 0.565627; 0.538197;
0.672; 0.226488; 0.745844; 0.566176; 0.536348;
0.688; 0.207957; 0.749198; 0.566636; 0.489862;
0.704; 0.211775; 0.752658; 0.567105; 0.496151;
0.72; 0.186179; 0.761282; 0.567434; 0.430992;
0.736; 0.188272; 0.770061; 0.567768; 0.430615;
0.752; 0.227004; 0.772901; 0.568225; 0.516879;
0.768; 0.196196; 0.7825; 0.568397; 0.441118;
0.784; 0.171381; 0.793074; 0.568621; 0.380037;
0.8; 0.171695; 0.801273; 0.568859; 0.376679;
0.816; 0.226192; 0.805239; 0.569147; 0.493547;
0.832; 0.194644; 0.808149; 0.569415; 0.42298;
0.848; 0.221386; 0.81152; 0.569689; 0.478864;
0.864; 0.223119; 0.81481; 0.569959; 0.480438;
0.88; 0.189973; 0.824166; 0.570095; 0.404326;
0.896; 0.192279; 0.833561; 0.570229; 0.404525;
0.912; 0.192512; 0.843078; 0.570361; 0.40035;
0.928; 0.197562; 0.849334; 0.570546; 0.407694;
0.944; 0.230126; 0.855454; 0.570577; 0.471471;
0.96; 0.244018; 0.855906; 0.570778; 0.499492;
0.976; 0.197141; 0.860741; 0.570893; 0.401189;
0.992; 0.190937; 0.865286; 0.571016; 0.38644;
1.008; 0.247056; 0.867625; 0.571179; 0.498529;
1.024; 0.188459; 0.871171; 0.571214; 0.378716;
1.04; 0.202852; 0.875895; 0.571297; 0.405382;
1.056; 0.227338; 0.878288; 0.571404; 0.452994;
1.072; 0.23063; 0.880075; 0.571507; 0.458536;
1.088; 0.238537; 0.878642; 0.571611; 0.474945;
1.104; 0.229347; 0.880457; 0.571715; 0.455622;
1.12; 0.2331; 0.882535; 0.571816; 0.461907;
1.136; 0.238252; 0.884179; 0.571916; 0.471156;
1.152; 0.238346; 0.884002; 0.572009; 0.471359;
1.168; 0.237791; 0.883875; 0.572096; 0.470258;
1.184; 0.236958; 0.883911; 0.572177; 0.468525;
1.2; 0.235828; 0.884013; 0.572256; 0.466173;
1.216; 0.234513; 0.884186; 0.572329; 0.463422;
1.232; 0.190265; 0.889441; 0.572337; 0.373756;
1.248; 0.191991; 0.89493; 0.572348; 0.374826;
1.264; 0.244873; 0.896764; 0.572392; 0.477055;
1.28; 0.231595; 0.896746; 0.572421; 0.451175;
1.296; 0.236938; 0.897066; 0.572444; 0.461399;
1.312; 0.233469; 0.896802; 0.572465; 0.454761;
1.328; 0.232718; 0.897444; 0.572476; 0.452965;
1.344; 0.23011; 0.898138; 0.572485; 0.447536;
1.36; 0.228872; 0.898775; 0.572489; 0.444811;
1.376; 0.228843; 0.902004; 0.572491; 0.443161;
1.392; 0.227579; 0.901943; 0.5725; 0.440735;
1.408; 0.233558; 0.90509; 0.572498; 0.450744;
1.424; 0.226526; 0.905831; 0.572506; 0.436809;
1.44; 0.232475; 0.906639; 0.572509; 0.447878;
1.456; 0.231838; 0.906524; 0.572508; 0.446707;
1.472; 0.232174; 0.909748; 0.572501; 0.445775;
1.488; 0.226965; 0.913049; 0.572504; 0.434196;
1.504; 0.231069; 0.916392; 0.572512; 0.440428;
1.52; 0.23185; 0.916962; 0.572525; 0.441633;
1.536; 0.237828; 0.919998; 0.572533; 0.451518;
1.552; 0.231874; 0.920454; 0.572548; 0.439986;
1.568; 0.23776; 0.923142; 0.572558; 0.449833;
1.584; 0.234608; 0.92469; 0.572574; 0.443112;
1.6; 0.239377; 0.927112; 0.572592; 0.450926;
1.616; 0.236679; 0.927052; 0.572615; 0.445854;
1.632; 0.240719; 0.927021; 0.572635; 0.453465;
1.648; 0.241771; 0.929998; 0.57265; 0.453976;
1.664; 0.237097; 0.931239; 0.572672; 0.444588;
