time; fitness; orientation; distance; velocity;
0.016; 0; 0; 0; 0;
0.032; 0.272175; 0.996699; 0.552347; 0.494394;
0.048; 0.26645; 0.995098; 0.552352; 0.484767;
0.064; 0.272666; 0.993495; 0.55236; 0.496871;
0.08; 0.272779; 0.991911; 0.552369; 0.497862;
0.096; 0.271224; 0.990445; 0.55238; 0.495747;
0.112; 0.271401; 0.989088; 0.552394; 0.496739;
0.128; 0.272743; 0.987748; 0.552409; 0.499858;
0.144; 0.271568; 0.986466; 0.552426; 0.498336;
0.16; 0.271605; 0.985138; 0.552445; 0.49906;
0.176; 0.269336; 0.983992; 0.552465; 0.495448;
0.192; 0.271469; 0.982882; 0.552487; 0.499915;
0.208; 0.271413; 0.981751; 0.55251; 0.500368;
0.224; 0.270746; 0.980671; 0.552535; 0.499665;
0.24; 0.269727; 0.979662; 0.552561; 0.498274;
0.256; 0.270419; 0.978707; 0.552588; 0.500016;
0.272; 0.26985; 0.977825; 0.552617; 0.499386;
0.288; 0.270116; 0.976925; 0.552646; 0.500313;
0.304; 0.268384; 0.976081; 0.552677; 0.497508;
0.32; 0.269281; 0.975242; 0.552709; 0.49957;
0.336; 0.268954; 0.974418; 0.552742; 0.499356;
0.352; 0.267881; 0.973742; 0.552775; 0.49768;
0.368; 0.269872; 0.973034; 0.55281; 0.501711;
0.384; 0.268716; 0.972297; 0.552846; 0.499908;
0.4; 0.267735; 0.971707; 0.552883; 0.498352;
0.416; 0.270385; 0.97114; 0.552921; 0.503544;
0.432; 0.268906; 0.970556; 0.552959; 0.501057;
0.448; 0.267284; 0.969982; 0.552998; 0.498294;
0.464; 0.267303; 0.969512; 0.553038; 0.498535;
0.48; 0.268797; 0.969066; 0.553078; 0.501514;
0.496; 0.268361; 0.968607; 0.55312; 0.500901;
0.512; 0.268352; 0.968206; 0.553162; 0.501055;
0.528; 0.267714; 0.967785; 0.553204; 0.500043;
0.544; 0.267795; 0.967408; 0.553247; 0.500351;
0.56; 0.267562; 0.967116; 0.55329; 0.500025;
0.576; 0.268643; 0.966798; 0.553335; 0.502172;
0.592; 0.267736; 0.96656; 0.553379; 0.500558;
0.608; 0.268301; 0.966272; 0.553424; 0.501723;
0.624; 0.267374; 0.966006; 0.553469; 0.500087;
0.64; 0.267343; 0.965698; 0.553515; 0.500147;
0.656; 0.267061; 0.965473; 0.553561; 0.499695;
0.672; 0.268156; 0.965236; 0.553607; 0.501825;
0.688; 0.268022; 0.965103; 0.553654; 0.501601;
0.704; 0.269135; 0.965001; 0.553701; 0.503694;
0.72; 0.268712; 0.964873; 0.553748; 0.502927;
0.736; 0.268463; 0.964743; 0.553796; 0.502485;
0.752; 0.267629; 0.964645; 0.553843; 0.500933;
0.768; 0.268015; 0.964552; 0.553891; 0.50166;
0.784; 0.268082; 0.964501; 0.553939; 0.501769;
0.8; 0.268866; 0.964437; 0.553986; 0.503226;
0.816; 0.267217; 0.964417; 0.554034; 0.500107;
0.832; 0.26849; 0.964468; 0.554082; 0.502419;
0.848; 0.269042; 0.964438; 0.554131; 0.503424;
0.864; 0.267166; 0.964405; 0.554179; 0.499888;
0.88; 0.26842; 0.964316; 0.554227; 0.502237;
0.896; 0.26641; 0.964311; 0.554275; 0.498434;
