time; fitness; orientation; distance; velocity;
0.016; 0; 0; 0; 0;
0.032; 0.258168; 0.988861; 0.552348; 0.472665;
0.048; 0.239068; 0.977006; 0.552368; 0.442993;
0.064; 0.251866; 0.966261; 0.552402; 0.471868;
0.08; 0.257155; 0.956254; 0.552452; 0.486774;
0.096; 0.261306; 0.946936; 0.55252; 0.499436;
0.112; 0.268693; 0.938513; 0.552609; 0.518082;
0.128; 0.274853; 0.930875; 0.55272; 0.534201;
0.144; 0.276914; 0.923633; 0.552848; 0.542301;
0.16; 0.278458; 0.916741; 0.552991; 0.549282;
0.176; 0.279718; 0.910169; 0.553152; 0.555589;
0.192; 0.28521; 0.904278; 0.553333; 0.570003;
0.208; 0.287157; 0.898692; 0.553529; 0.577254;
0.224; 0.287237; 0.893282; 0.553739; 0.580692;
0.24; 0.287795; 0.888037; 0.553962; 0.585023;
0.256; 0.289431; 0.883053; 0.554199; 0.591416;
0.272; 0.290487; 0.878304; 0.554451; 0.596511;
0.288; 0.291098; 0.87371; 0.554715; 0.600623;
0.304; 0.290569; 0.86916; 0.554991; 0.60237;
0.32; 0.292281; 0.864888; 0.555282; 0.608593;
0.336; 0.292412; 0.860741; 0.555586; 0.611465;
0.352; 0.293013; 0.856765; 0.555902; 0.615216;
0.368; 0.294699; 0.85301; 0.556234; 0.621107;
0.384; 0.293315; 0.849219; 0.556575; 0.62057;
0.4; 0.294084; 0.845602; 0.556929; 0.624462;
0.416; 0.296358; 0.842301; 0.5573; 0.631336;
0.432; 0.294282; 0.838861; 0.557677; 0.629059;
0.448; 0.292272; 0.83528; 0.558058; 0.627012;
0.464; 0.292676; 0.831849; 0.558452; 0.630024;
0.48; 0.294204; 0.828658; 0.558861; 0.635287;
0.496; 0.293326; 0.825483; 0.55928; 0.635349;
0.512; 0.292651; 0.822363; 0.559708; 0.635807;
0.528; 0.292015; 0.819206; 0.560143; 0.636375;
0.544; 0.291399; 0.816137; 0.560589; 0.636912;
0.56; 0.291479; 0.813178; 0.561047; 0.638886;
0.576; 0.291772; 0.810336; 0.561516; 0.641233;
0.592; 0.290591; 0.807513; 0.561994; 0.640326;
0.608; 0.29041; 0.804725; 0.56248; 0.64159;
0.624; 0.288334; 0.801862; 0.562972; 0.638717;
0.64; 0.287414; 0.798995; 0.563473; 0.638396;
0.656; 0.286778; 0.796228; 0.563985; 0.638619;
0.672; 0.287339; 0.793616; 0.564509; 0.641376;
0.688; 0.240993; 0.79428; 0.564853; 0.53715;
0.704; 0.282062; 0.791044; 0.565361; 0.630694;
0.72; 0.240572; 0.791829; 0.565717; 0.537051;
0.736; 0.242437; 0.793158; 0.566081; 0.539959;
0.752; 0.287385; 0.790743; 0.566619; 0.641412;
0.768; 0.276802; 0.787378; 0.567136; 0.619866;
0.784; 0.237054; 0.788013; 0.567502; 0.530086;
0.8; 0.223179; 0.787176; 0.567821; 0.49931;
0.816; 0.191117; 0.791492; 0.567972; 0.425133;
0.832; 0.227906; 0.790406; 0.568278; 0.507395;
0.848; 0.235867; 0.790493; 0.568579; 0.524781;
0.864; 0.186993; 0.794751; 0.568737; 0.413698;
0.88; 0.239887; 0.796455; 0.569119; 0.529227;
0.896; 0.225397; 0.796251; 0.569452; 0.497096;
0.912; 0.186021; 0.800662; 0.569614; 0.407879;
0.928; 0.172423; 0.80352; 0.569711; 0.376656;
0.944; 0.189346; 0.808727; 0.569881; 0.410836;
0.96; 0.192404; 0.813483; 0.570022; 0.414928;
0.976; 0.186345; 0.818195; 0.570186; 0.399434;
0.992; 0.188335; 0.823473; 0.570353; 0.400995;
1.008; 0.186185; 0.828265; 0.570512; 0.394012;
1.024; 0.184149; 0.832021; 0.570667; 0.387839;
1.04; 0.201307; 0.837106; 0.570846; 0.421269;
1.056; 0.202937; 0.842137; 0.571017; 0.422017;
1.072; 0.189797; 0.846436; 0.571166; 0.392584;
1.088; 0.19783; 0.851297; 0.571319; 0.406756;
1.104; 0.187689; 0.855072; 0.571455; 0.384109;
1.12; 0.224171; 0.85636; 0.571614; 0.457953;
1.136; 0.181619; 0.860041; 0.571742; 0.369355;
1.152; 0.18949; 0.864204; 0.571869; 0.383418;
1.168; 0.188845; 0.868402; 0.571986; 0.380188;
1.184; 0.202503; 0.874476; 0.572112; 0.404764;
1.2; 0.188877; 0.877625; 0.5722; 0.376117;
1.216; 0.202453; 0.881782; 0.572298; 0.401181;
1.232; 0.188673; 0.884654; 0.572367; 0.372616;
1.248; 0.185983; 0.887493; 0.572427; 0.366091;
1.264; 0.190033; 0.890732; 0.572488; 0.372663;
1.28; 0.226161; 0.891273; 0.572594; 0.443159;
1.296; 0.178849; 0.894182; 0.572638; 0.349285;
1.312; 0.184216; 0.897262; 0.572687; 0.358502;
1.328; 0.187839; 0.899802; 0.572739; 0.364486;
1.344; 0.187275; 0.902336; 0.572787; 0.362341;
1.36; 0.186814; 0.904889; 0.572832; 0.360403;
1.376; 0.186041; 0.907551; 0.572871; 0.357833;
1.392; 0.185662; 0.910256; 0.572908; 0.356021;
1.408; 0.18529; 0.912937; 0.57294; 0.354243;
1.424; 0.1843; 0.915728; 0.572968; 0.35126;
1.44; 0.184208; 0.918544; 0.572994; 0.349992;
1.456; 0.183691; 0.921348; 0.573015; 0.347936;
1.472; 0.182457; 0.923247; 0.573033; 0.344876;
1.488; 0.191838; 0.924061; 0.573052; 0.362278;
1.504; 0.191062; 0.92489; 0.573063; 0.360481;
1.52; 0.190072; 0.925833; 0.573069; 0.358243;
1.536; 0.181055; 0.926768; 0.573069; 0.340904;
1.552; 0.17776; 0.927776; 0.573066; 0.334339;
1.568; 0.176475; 0.928135; 0.57306; 0.331797;
1.584; 0.175398; 0.928085; 0.573052; 0.329795;
1.6; 0.173803; 0.927035; 0.57304; 0.327171;
1.616; 0.177357; 0.931621; 0.57303; 0.332224;
1.632; 0.18258; 0.931072; 0.573014; 0.342219;
1.648; 0.182023; 0.929204; 0.572989; 0.341876;
1.664; 0.171099; 0.934539; 0.572971; 0.319534;
1.68; 0.163121; 0.938265; 0.572965; 0.303429;
1.696; 0.170897; 0.942873; 0.572954; 0.316346;
1.712; 0.165552; 0.943316; 0.572951; 0.30631;
1.728; 0.175217; 0.947175; 0.572935; 0.32288;
1.744; 0.170018; 0.945753; 0.572925; 0.313775;
1.76; 0.1814; 0.951433; 0.5729; 0.332798;
1.776; 0.177064; 0.954616; 0.572886; 0.323768;
1.792; 0.185613; 0.959282; 0.572864; 0.337762;
1.808; 0.18728; 0.963086; 0.572853; 0.339457;
1.824; 0.191493; 0.966783; 0.572833; 0.345776;
1.84; 0.194582; 0.97038; 0.572826; 0.350057;
1.856; 0.197779; 0.97387; 0.572809; 0.354543;
1.872; 0.217347; 0.980645; 0.572793; 0.386941;
1.888; 0.171199; 0.981337; 0.572814; 0.304557;
1.904; 0.233785; 0.981646; 0.5728; 0.415775;
1.92; 0.178305; 0.985437; 0.572823; 0.315874;
1.936; 0.236814; 0.982693; 0.572818; 0.420701;
1.952; 0.175331; 0.986398; 0.572845; 0.31029;
1.968; 0.240319; 0.979746; 0.57285; 0.428188;
1.984; 0.205157; 0.977963; 0.572873; 0.366189;
2; 0.211371; 0.976601; 0.572905; 0.377786;
2.016; 0.235909; 0.969291; 0.572935; 0.424799;
2.032; 0.21163; 0.967922; 0.572974; 0.381595;
2.048; 0.244298; 0.961145; 0.573027; 0.443564;
2.064; 0.212299; 0.958806; 0.573084; 0.386366;
2.08; 0.260102; 0.951139; 0.573164; 0.477114;
2.096; 0.205914; 0.94818; 0.573237; 0.378845;
2.112; 0.222754; 0.947229; 0.573319; 0.41018;
2.128; 0.26287; 0.940523; 0.573427; 0.487408;
2.144; 0.2558; 0.933411; 0.573552; 0.47781;
2.16; 0.254073; 0.926343; 0.573694; 0.478086;
2.176; 0.21865; 0.924901; 0.573817; 0.411986;
2.192; 0.261705; 0.91927; 0.573992; 0.495979;
2.208; 0.263124; 0.913371; 0.574181; 0.501724;
2.224; 0.264907; 0.907814; 0.574391; 0.508029;
2.24; 0.267624; 0.902728; 0.574624; 0.515923;
2.256; 0.267137; 0.897706; 0.574873; 0.51764;
2.272; 0.267357; 0.892899; 0.575138; 0.520615;
2.288; 0.269071; 0.888377; 0.575424; 0.526359;
2.304; 0.268482; 0.883986; 0.575725; 0.527539;
2.32; 0.2698; 0.879892; 0.576045; 0.532299;
2.336; 0.271199; 0.876035; 0.576385; 0.537099;
2.352; 0.272826; 0.872524; 0.576744; 0.542156;
2.368; 0.271909; 0.868846; 0.577117; 0.542272;
2.384; 0.271997; 0.865254; 0.577505; 0.544333;
2.4; 0.272768; 0.861825; 0.577909; 0.547664;
2.416; 0.273142; 0.858565; 0.578328; 0.550099;
2.432; 0.272241; 0.855369; 0.578761; 0.549921;
2.448; 0.272956; 0.851837; 0.579211; 0.553221;
2.464; 0.273573; 0.848194; 0.579678; 0.556406;
2.48; 0.272763; 0.844486; 0.580156; 0.556735;
2.496; 0.27486; 0.841037; 0.580655; 0.562832;
2.512; 0.274049; 0.837523; 0.581166; 0.563029;
2.528; 0.27275; 0.833536; 0.581687; 0.562536;
2.544; 0.272002; 0.829561; 0.58222; 0.563167;
2.56; 0.270994; 0.825582; 0.582761; 0.563259;
2.576; 0.268532; 0.821535; 0.583307; 0.560367;
2.592; 0.267908; 0.817679; 0.583863; 0.561166;
2.608; 0.267162; 0.813868; 0.584428; 0.561681;
2.624; 0.265884; 0.810046; 0.585; 0.561082;
2.64; 0.26433; 0.806168; 0.585576; 0.559935;
2.656; 0.263589; 0.802344; 0.586163; 0.560465;
2.672; 0.26288; 0.798574; 0.58676; 0.561025;
2.688; 0.261178; 0.794768; 0.587364; 0.559486;
2.704; 0.260342; 0.790996; 0.587979; 0.559768;
2.72; 0.258602; 0.787307; 0.588601; 0.558043;
2.736; 0.258515; 0.783803; 0.589238; 0.559744;
2.752; 0.257208; 0.780419; 0.589883; 0.558714;
2.768; 0.255551; 0.777093; 0.590532; 0.55688;
2.784; 0.254436; 0.773853; 0.591191; 0.556151;
2.8; 0.251601; 0.770641; 0.591851; 0.55163;
2.816; 0.250591; 0.767628; 0.592515; 0.550955;
2.832; 0.249785; 0.764815; 0.593186; 0.550577;
2.848; 0.24818; 0.762194; 0.593864; 0.548296;
2.864; 0.247302; 0.75975; 0.594544; 0.547484;
