time; fitness; orientation; distance; velocity;
0.016; 0; 0; 0; 0;
0.032; 0.471499; 0.997473; 0.552347; 0.855791;
0.048; 0.301908; 0.995928; 0.552355; 0.548819;
0.064; 0.47541; 0.994274; 0.552366; 0.865637;
0.08; 0.4745; 0.992648; 0.552381; 0.865369;
0.096; 0.471559; 0.991136; 0.5524; 0.86129;
0.112; 0.472059; 0.989743; 0.552422; 0.863382;
0.128; 0.474332; 0.988365; 0.552448; 0.868708;
0.144; 0.472142; 0.987058; 0.552476; 0.865799;
0.16; 0.472283; 0.985711; 0.552507; 0.867193;
0.176; 0.468503; 0.984533; 0.55254; 0.861228;
0.192; 0.47199; 0.983405; 0.552578; 0.868575;
0.208; 0.472129; 0.982268; 0.552617; 0.869774;
0.224; 0.471158; 0.981177; 0.55266; 0.868884;
0.24; 0.468881; 0.980161; 0.552704; 0.865511;
0.256; 0.469938; 0.979208; 0.55275; 0.868233;
0.272; 0.469181; 0.978332; 0.552799; 0.867534;
0.288; 0.469896; 0.977448; 0.55285; 0.869562;
0.304; 0.467115; 0.97662; 0.552903; 0.865066;
0.32; 0.468516; 0.97581; 0.552958; 0.868294;
0.336; 0.468025; 0.97501; 0.553014; 0.868008;
0.352; 0.466158; 0.974362; 0.553072; 0.865029;
0.368; 0.469493; 0.97368; 0.553133; 0.871733;
0.384; 0.467307; 0.972987; 0.553194; 0.868195;
0.4; 0.466398; 0.972441; 0.553257; 0.866896;
0.416; 0.470637; 0.971925; 0.553322; 0.875135;
0.432; 0.468142; 0.971385; 0.553388; 0.870876;
0.448; 0.465382; 0.970863; 0.553454; 0.866104;
0.464; 0.46512; 0.970461; 0.553522; 0.86587;
0.48; 0.468111; 0.970067; 0.553591; 0.871682;
0.496; 0.467164; 0.969673; 0.553662; 0.870162;
0.512; 0.467095; 0.969332; 0.553733; 0.870227;
0.528; 0.466105; 0.968979; 0.553804; 0.868586;
0.544; 0.46617; 0.968666; 0.553877; 0.868874;
0.56; 0.465876; 0.968449; 0.55395; 0.868405;
0.576; 0.46819; 0.96822; 0.554025; 0.872807;
0.592; 0.466521; 0.96806; 0.5541; 0.869723;
0.608; 0.467641; 0.96785; 0.554176; 0.87188;
0.624; 0.465705; 0.967662; 0.554252; 0.868321;
0.64; 0.465621; 0.967441; 0.554328; 0.868244;
0.656; 0.465544; 0.967298; 0.554405; 0.868107;
0.672; 0.467178; 0.967147; 0.554482; 0.871169;
0.688; 0.467373; 0.967116; 0.55456; 0.871437;
0.704; 0.469501; 0.967114; 0.554638; 0.875284;
0.72; 0.468664; 0.96708; 0.554717; 0.87363;
0.736; 0.468205; 0.967053; 0.554795; 0.872676;
0.752; 0.46697; 0.967059; 0.554873; 0.870247;
0.768; 0.467838; 0.967069; 0.554952; 0.871731;
0.784; 0.467728; 0.96712; 0.55503; 0.871357;
0.8; 0.469303; 0.967159; 0.555108; 0.874134;
