time; fitness; orientation; distance; velocity;
0.016; nan; nan; nan; nan;
0.032; 0.375085; 0.989519; 0.552347; 0.686268;
0.048; 0.341851; 0.98371; 0.552359; 0.628804;
0.064; 0.351794; 0.978427; 0.552375; 0.650929;
0.08; 0.357955; 0.973444; 0.552396; 0.66592;
0.096; 0.363397; 0.968782; 0.552422; 0.679472;
0.112; 0.36773; 0.964382; 0.552454; 0.690847;
0.128; 0.371476; 0.960229; 0.552493; 0.701019;
0.144; 0.374523; 0.956286; 0.552537; 0.709767;
0.16; 0.376987; 0.952522; 0.552587; 0.717318;
0.176; 0.379214; 0.94893; 0.552642; 0.724333;
0.192; 0.381466; 0.945522; 0.552703; 0.731309;
0.208; 0.383427; 0.942282; 0.552769; 0.737621;
0.224; 0.385102; 0.939186; 0.55284; 0.743288;
0.24; 0.386743; 0.936235; 0.552916; 0.748805;
0.256; 0.388289; 0.933422; 0.552997; 0.754048;
0.272; 0.389757; 0.930739; 0.553083; 0.759053;
0.288; 0.391073; 0.928175; 0.553172; 0.763675;
0.304; 0.392229; 0.925716; 0.553266; 0.767905;
0.32; 0.393333; 0.923361; 0.553364; 0.771958;
0.336; 0.39433; 0.9211; 0.553466; 0.775727;
0.352; 0.395321; 0.918932; 0.553572; 0.779419;
0.368; 0.396269; 0.916855; 0.553681; 0.782955;
0.384; 0.397085; 0.914856; 0.553794; 0.786163;
0.4; 0.397927; 0.912938; 0.55391; 0.789361;
0.416; 0.398783; 0.911102; 0.55403; 0.792523;
0.432; 0.399487; 0.909336; 0.554153; 0.795316;
0.448; 0.400095; 0.907631; 0.554279; 0.797863;
0.464; 0.400711; 0.90599; 0.554408; 0.800373;
0.48; 0.401324; 0.904415; 0.55454; 0.80282;
0.496; 0.401885; 0.9029; 0.554675; 0.805111;
0.512; 0.402392; 0.901443; 0.554812; 0.807239;
0.528; 0.402873; 0.90004; 0.554952; 0.809266;
0.544; 0.403327; 0.898688; 0.555095; 0.811191;
0.56; 0.403777; 0.897388; 0.55524; 0.813063;
0.576; 0.40422; 0.896138; 0.555387; 0.814873;
0.592; 0.404618; 0.894937; 0.555537; 0.816547;
0.608; 0.405003; 0.893782; 0.555689; 0.81815;
0.624; 0.405324; 0.892668; 0.555843; 0.819582;
0.64; 0.405628; 0.891594; 0.555999; 0.820942;
0.656; 0.405915; 0.89056; 0.556157; 0.82223;
0.672; 0.406216; 0.889566; 0.556317; 0.823508;
0.688; 0.406513; 0.888613; 0.556479; 0.824738;
0.704; 0.40683; 0.887702; 0.556643; 0.825968;
0.72; 0.407122; 0.886829; 0.556809; 0.827112;
0.736; 0.407377; 0.885989; 0.556977; 0.828145;
0.752; 0.407625; 0.885182; 0.557147; 0.829133;
0.768; 0.407874; 0.884406; 0.557318; 0.830091;
0.784; 0.408129; 0.883662; 0.55749; 0.83103;
0.8; 0.40837; 0.882948; 0.557665; 0.831911;
0.816; 0.408597; 0.88226; 0.55784; 0.832736;
0.832; 0.408846; 0.881602; 0.558018; 0.833578;
0.848; 0.409087; 0.880969; 0.558197; 0.834379;
0.864; 0.409233; 0.880374; 0.558377; 0.834944;
0.88; 0.409396; 0.879812; 0.558558; 0.835511;
0.896; 0.409543; 0.879284; 0.55874; 0.836011;
0.912; 0.409724; 0.878786; 0.558924; 0.836552;
0.928; 0.409899; 0.878318; 0.559108; 0.83705;
0.944; 0.410089; 0.877879; 0.559294; 0.83755;
0.96; 0.409283; 0.877501; 0.559478; 0.835949;
0.976; 0.409476; 0.877152; 0.559664; 0.836368;
0.992; 0.409696; 0.876834; 0.55985; 0.836813;
1.008; 0.409919; 0.876547; 0.560036; 0.837231;
1.024; 0.409184; 0.876312; 0.560222; 0.835657;
1.04; 0.408579; 0.876135; 0.560406; 0.834298;
1.056; 0.408002; 0.876001; 0.56059; 0.832963;
1.072; 0.40652; 0.875927; 0.56077; 0.829766;
1.088; 0.406002; 0.875883; 0.56095; 0.82848;
1.104; 0.405495; 0.875873; 0.561128; 0.82719;
1.12; 0.405028; 0.875895; 0.561305; 0.825955;
1.136; 0.404575; 0.87595; 0.561481; 0.824724;
1.152; 0.404082; 0.87603; 0.561655; 0.823398;
1.168; 0.403678; 0.876138; 0.561829; 0.822225;
1.184; 0.404201; 0.876258; 0.562002; 0.822868;
1.2; 0.404519; 0.876379; 0.562174; 0.823109;
1.216; 0.405012; 0.876512; 0.562346; 0.823684;
1.232; 0.405516; 0.876657; 0.562517; 0.824269;
1.248; 0.406012; 0.876811; 0.562687; 0.82483;
1.264; 0.406484; 0.876975; 0.562858; 0.825336;
1.28; 0.40698; 0.877149; 0.563027; 0.825879;
1.296; 0.407457; 0.877333; 0.563196; 0.826376;
1.312; 0.407947; 0.877526; 0.563365; 0.826891;
1.328; 0.408427; 0.877728; 0.563533; 0.82738;
1.344; 0.408913; 0.877938; 0.563701; 0.82787;
1.36; 0.409407; 0.878155; 0.563868; 0.828371;
1.376; 0.409903; 0.878382; 0.564035; 0.828867;
1.392; 0.410398; 0.878617; 0.564201; 0.829353;
1.408; 0.410897; 0.878859; 0.564367; 0.829
