time; fitness; orientation; distance; velocity;
0.016; 0; 0; 0; 0;
0.032; 0.190572; 0.984199; 0.552348; 0.350561;
0.048; 0.176633; 0.967756; 0.552366; 0.33043;
0.064; 0.186181; 0.952117; 0.552398; 0.353993;
0.08; 0.190192; 0.937147; 0.552444; 0.367364;
0.096; 0.196238; 0.923107; 0.552508; 0.384762;
0.112; 0.198794; 0.909751; 0.552593; 0.395434;
0.128; 0.200723; 0.897161; 0.552699; 0.404798;
0.144; 0.202707; 0.885282; 0.552826; 0.414189;
0.16; 0.20333; 0.874047; 0.552974; 0.420691;
0.176; 0.201797; 0.86339; 0.55314; 0.422544;
0.192; 0.201506; 0.853374; 0.553325; 0.426745;
0.208; 0.201577; 0.844178; 0.553529; 0.431387;
0.224; 0.200161; 0.835525; 0.55375; 0.432619;
0.24; 0.197782; 0.827469; 0.553984; 0.431457;
0.256; 0.196922; 0.819962; 0.554235; 0.433317;
0.272; 0.194978; 0.81293; 0.554499; 0.432546;
0.288; 0.193877; 0.806416; 0.554778; 0.433358;
0.304; 0.192842; 0.800369; 0.55507; 0.434075;
0.32; 0.191029; 0.794572; 0.555374; 0.432892;
0.336; 0.188848; 0.789154; 0.555688; 0.430646;
0.352; 0.18732; 0.78427; 0.556013; 0.429569;
0.368; 0.185889; 0.779698; 0.556347; 0.42853;
0.384; 0.183944; 0.77541; 0.556687; 0.426131;
0.4; 0.182574; 0.771511; 0.557034; 0.424829;
0.416; 0.181319; 0.767947; 0.557387; 0.4236;
0.432; 0.180189; 0.764623; 0.557745; 0.422519;
0.448; 0.177804; 0.76146; 0.558108; 0.418385;
0.464; 0.175979; 0.758595; 0.558478; 0.41538;
0.48; 0.175248; 0.756148; 0.558855; 0.414712;
0.496; 0.174698; 0.753954; 0.559238; 0.41433;
0.512; 0.173761; 0.751966; 0.559624; 0.412911;
0.528; 0.173057; 0.750097; 0.560015; 0.411975;
0.544; 0.171931; 0.748277; 0.560408; 0.410003;
0.56; 0.170896; 0.746553; 0.560804; 0.408189;
0.576; 0.17011; 0.745062; 0.561204; 0.406833;
0.592; 0.169697; 0.743649; 0.561607; 0.406325;
0.608; 0.168687; 0.742306; 0.562012; 0.404346;
0.624; 0.168224; 0.741201; 0.56242; 0.403545;
0.64; 0.168052; 0.740312; 0.562831; 0.40332;
0.656; 0.167771; 0.739491; 0.563245; 0.402798;
0.672; 0.167248; 0.738671; 0.56366; 0.401691;
0.688; 0.16662; 0.737883; 0.564077; 0.400314;
0.704; 0.166189; 0.737298; 0.564496; 0.3993;
0.72; 0.16633; 0.73679; 0.564916; 0.399616;
0.736; 0.165863; 0.736236; 0.565338; 0.398496;
0.752; 0.165294; 0.735749; 0.565762; 0.397094;
0.768; 0.165134; 0.735382; 0.566187; 0.396611;
0.784; 0.160584; 0.736169; 0.566589; 0.384997;
0.8; 0.161157; 0.737046; 0.566992; 0.385637;
0.816; 0.136009; 0.745917; 0.567244; 0.321445;
0.832; 0.167637; 0.746641; 0.567645; 0.395531;
0.848; 0.165284; 0.746912; 0.568034; 0.389572;
0.864; 0.165759; 0.747214; 0.568426; 0.390263;
0.88; 0.134294; 0.756775; 0.568661; 0.312059;
0.896; 0.133734; 0.766812; 0.568883; 0.30657;
0.912; 0.171309; 0.767331; 0.569223; 0.392207;
0.928; 0.135919; 0.77737; 0.569447; 0.307043;
0.944; 0.172747; 0.777351; 0.569766; 0.390028;
0.96; 0.136537; 0.784325; 0.569988; 0.305413;
0.976; 0.107829; 0.798191; 0.570051; 0.236981;
0.992; 0.113615; 0.812259; 0.570124; 0.245341;
1.008; 0.191609; 0.813826; 0.570373; 0.412786;
1.024; 0.178663; 0.815494; 0.570599; 0.383958;
1.04; 0.151538; 0.823099; 0.570687; 0.322605;
1.056; 0.124296; 0.827791; 0.570884; 0.263021;
1.072; 0.151449; 0.838118; 0.570985; 0.316472;
1.088; 0.190233; 0.842298; 0.571077; 0.39548;
1.104; 0.152207; 0.848682; 0.571183; 0.31399;
1.12; 0.149391; 0.854976; 0.571282; 0.305857;
1.136; 0.105263; 0.864711; 0.571335; 0.213066;
1.152; 0.181939; 0.864808; 0.571449; 0.368154;
1.168; 0.193005; 0.8636; 0.57157; 0.391009;
1.184; 0.164017; 0.869654; 0.57166; 0.329918;
1.2; 0.166462; 0.87561; 0.571748; 0.332505;
1.216; 0.195106; 0.875082; 0.571838; 0.389897;
1.232; 0.186556; 0.874049; 0.571939; 0.373184;
1.248; 0.165957; 0.879952; 0.572009; 0.329712;
1.264; 0.184071; 0.879347; 0.572079; 0.365906;
1.28; 0.165592; 0.884962; 0.572141; 0.327048;
1.296; 0.193283; 0.884309; 0.57221; 0.381976;
1.312; 0.148287; 0.887379; 0.572225; 0.29203;
1.328; 0.19267; 0.887195; 0.572287; 0.379473;
1.344; 0.18576; 0.884995; 0.57235; 0.366732;
1.36; 0.164775; 0.889441; 0.572396; 0.323651;
1.376; 0.190212; 0.889684; 0.572449; 0.373479;
1.392; 0.184796; 0.887519; 0.572501; 0.363697;
1.408; 0.165425; 0.892021; 0.57254; 0.323906;
1.424; 0.179902; 0.890361; 0.572579; 0.352886;
1.44; 0.183043; 0.888316; 0.572627; 0.359843;
1.456; 0.16458; 0.892912; 0.572631; 0.32188;
1.472; 0.187147; 0.892638; 0.572674; 0.366099;
1.488; 0.180453; 0.890453; 0.572719; 0.353843;
1.504; 0.181174; 0.888548; 0.572769; 0.355989;
1.52; 0.156259; 0.893442; 0.572795; 0.305338;
1.536; 0.186362; 0.894067; 0.572841; 0.363875;
1.552; 0.1804; 0.894248; 0.572883; 0.352138;
1.568; 0.180058; 0.894478; 0.572926; 0.351353;
1.584; 0.179368; 0.894826; 0.57297; 0.349845;
1.6; 0.144461; 0.900063; 0.572979; 0.280118;
1.616; 0.177454; 0.900626; 0.573009; 0.343859;
1.632; 0.144578; 0.903775; 0.573022; 0.279172;
1.648; 0.182198; 0.904208; 0.573041; 0.351634;
1.664; 0.171117; 0.905545; 0.573025; 0.329768;
1.68; 0.174474; 0.90614; 0.573039; 0.33601;
1.696; 0.170051; 0.906607; 0.573052; 0.327316;
1.712; 0.170855; 0.907188; 0.573068; 0.328643;
1.728; 0.173672; 0.90842; 0.573086; 0.333598;
1.744; 0.175149; 0.908167; 0.573115; 0.336512;
1.76; 0.177379; 0.908025; 0.573145; 0.340831;
1.776; 0.178273; 0.907961; 0.57318; 0.342553;
1.792; 0.17974; 0.907901; 0.573218; 0.345372;
1.808; 0.18086; 0.907997; 0.573266; 0.347457;
1.824; 0.153005; 0.913283; 0.573295; 0.292227;
1.84; 0.180294; 0.913802; 0.573329; 0.344133;
1.856; 0.182441; 0.913637; 0.573365; 0.348271;
1.872; 0.181564; 0.913465; 0.573402; 0.34664;
1.888; 0.181763; 0.91328; 0.573439; 0.347069;
1.904; 0.181952; 0.913214; 0.573476; 0.347432;
1.92; 0.182236; 0.913247; 0.573515; 0.347938;
1.936; 0.181976; 0.9133; 0.573554; 0.347398;
1.952; 0.18166; 0.91336; 0.573593; 0.346748;
1.968; 0.18235; 0.913586; 0.573636; 0.347952;
1.984; 0.183294; 0.913721; 0.573679; 0.349677;
2; 0.182881; 0.914021; 0.573725; 0.348745;
2.016; 0.184027; 0.914385; 0.573774; 0.350761;
2.032; 0.186025; 0.914781; 0.573826; 0.354383;
2.048; 0.187716; 0.915114; 0.573888; 0.357436;
2.064; 0.190372; 0.915316; 0.573952; 0.362373;
2.08; 0.190128; 0.913028; 0.574018; 0.362773;
2.096; 0.190025; 0.91082; 0.574095; 0.363407;
2.112; 0.192276; 0.911277; 0.574182; 0.367472;
2.128; 0.194214; 0.909044; 0.574271; 0.372031;
2.144; 0.191954; 0.909891; 0.574366; 0.367299;
2.16; 0.196518; 0.912961; 0.574461; 0.374704;
2.176; 0.197122; 0.913373; 0.57455; 0.375628;
2.192; 0.195734; 0.9143; 0.574636; 0.372549;
2.208; 0.195749; 0.913802; 0.57472; 0.372727;
2.224; 0.194103; 0.912679; 0.574809; 0.369991;
2.24; 0.194965; 0.915064; 0.574905; 0.370603;
2.256; 0.197745; 0.914156; 0.574996; 0.376202;
2.272; 0.195547; 0.916594; 0.575091; 0.370969;
2.288; 0.198076; 0.915623; 0.575182; 0.376106;
2.304; 0.194555; 0.913652; 0.575276; 0.370155;
2.32; 0.195258; 0.910568; 0.575379; 0.372685;
2.336; 0.197006; 0.914617; 0.57549; 0.374286;
2.352; 0.19858; 0.911901; 0.575597; 0.378329;
2.368; 0.194031; 0.908889; 0.575704; 0.370819;
2.384; 0.195097; 0.912881; 0.575816; 0.371152;
2.4; 0.198562; 0.910352; 0.575928; 0.378721;
2.416; 0.194351; 0.907668; 0.57604; 0.371712;
2.432; 0.193147; 0.905021; 0.576159; 0.370414;
2.448; 0.193594; 0.902669; 0.576284; 0.372157;
2.464; 0.193491; 0.900592; 0.576416; 0.372732;
2.48; 0.193695; 0.898766; 0.576554; 0.373794;
2.496; 0.193285; 0.896991; 0.576696; 0.373648;
2.512; 0.19187; 0.895275; 0.57684; 0.371532;
2.528; 0.192064; 0.893843; 0.57699; 0.372406;
2.544; 0.191562; 0.892547; 0.577143; 0.371872;
2.56; 0.190799; 0.891262; 0.577299; 0.370826;
2.576; 0.18981; 0.890121; 0.577456; 0.369276;
2.592; 0.190033; 0.889162; 0.577617; 0.370005;
2.608; 0.189982; 0.888194; 0.577781; 0.370203;
2.624; 0.188778; 0.887471; 0.577946; 0.368052;
2.64; 0.188308; 0.885689; 0.578114; 0.367768;
2.656; 0.18707; 0.883786; 0.578284; 0.366028;
2.672; 0.186939; 0.883175; 0.578458; 0.365916;
2.688; 0.188518; 0.881603; 0.578633; 0.369553;
2.704; 0.187031; 0.879524; 0.578812; 0.367391;
2.72; 0.186281; 0.878071; 0.578995; 0.366406;
2.736; 0.187879; 0.876838; 0.579183; 0.36995;
2.752; 0.188982; 0.875701; 0.579375; 0.37248;
2.768; 0.188758; 0.874671; 0.579568; 0.372355;
2.784; 0.188631; 0.873442; 0.579765; 0.372501;
