time; fitness; orientation; distance; velocity;
0.016; 0; 0; 0; 0;
0.032; 0.186905; 0.98427; 0.549976; 0.345274;
0.048; 0.174092; 0.967959; 0.549985; 0.327018;
0.064; 0.182889; 0.952437; 0.55001; 0.349125;
0.08; 0.186526; 0.937615; 0.550052; 0.36167;
0.096; 0.195048; 0.923886; 0.550117; 0.383768;
0.112; 0.198044; 0.910872; 0.550203; 0.395168;
0.128; 0.198404; 0.898411; 0.55031; 0.401299;
0.144; 0.200487; 0.886715; 0.550438; 0.410765;
0.16; 0.202056; 0.875669; 0.550572; 0.419099;
0.176; 0.202143; 0.865118; 0.550725; 0.424276;
0.192; 0.20264; 0.855095; 0.550898; 0.43017;
0.208; 0.20206; 0.84571; 0.551089; 0.433548;
0.224; 0.200947; 0.836974; 0.551297; 0.435496;
0.24; 0.199316; 0.828905; 0.551521; 0.43599;
0.256; 0.197946; 0.82135; 0.551761; 0.436785;
0.272; 0.196227; 0.81431; 0.552015; 0.436534;
0.288; 0.194498; 0.807682; 0.552283; 0.436026;
0.304; 0.192634; 0.801418; 0.552564; 0.435001;
0.32; 0.191819; 0.795627; 0.552859; 0.43608;
0.336; 0.190289; 0.790245; 0.553167; 0.435307;
0.352; 0.188083; 0.785112; 0.553484; 0.432827;
0.368; 0.185921; 0.78015; 0.553807; 0.43032;
0.384; 0.18362; 0.775572; 0.554139; 0.427248;
0.4; 0.182427; 0.771394; 0.55448; 0.426508;
0.416; 0.180965; 0.767587; 0.554826; 0.424924;
0.432; 0.179755; 0.764108; 0.555181; 0.423733;
0.448; 0.177832; 0.760916; 0.555541; 0.420684;
0.464; 0.176095; 0.758004; 0.555908; 0.4179;
0.48; 0.175184; 0.755429; 0.556282; 0.416874;
0.496; 0.174359; 0.753063; 0.556661; 0.415931;
0.512; 0.173253; 0.750928; 0.557045; 0.414183;
0.528; 0.172258; 0.748803; 0.557434; 0.412685;
0.544; 0.17074; 0.746747; 0.557823; 0.409888;
0.56; 0.170153; 0.744996; 0.558217; 0.40915;
0.576; 0.169788; 0.743568; 0.558616; 0.408765;
0.592; 0.169576; 0.742297; 0.559019; 0.408659;
0.608; 0.168767; 0.74109; 0.559424; 0.407076;
0.624; 0.168028; 0.739892; 0.559832; 0.405655;
0.64; 0.167253; 0.738972; 0.560242; 0.403989;
0.656; 0.167571; 0.73814; 0.560655; 0.404914;
0.672; 0.166791; 0.737352; 0.56107; 0.403164;
0.688; 0.166412; 0.73658; 0.561486; 0.40237;
0.704; 0.165776; 0.735931; 0.561904; 0.400886;
0.72; 0.165755; 0.735404; 0.562325; 0.400823;
0.736; 0.1654; 0.734813; 0.562747; 0.399988;
0.752; 0.164779; 0.734211; 0.563169; 0.398513;
0.768; 0.164462; 0.733635; 0.563592; 0.397759;
0.784; 0.164062; 0.733172; 0.564017; 0.396744;
0.8; 0.163939; 0.732781; 0.564444; 0.396358;
0.816; 0.163678; 0.732585; 0.564872; 0.395532;
0.832; 0.163974; 0.732349; 0.565303; 0.396074;
0.848; 0.163317; 0.732171; 0.565733; 0.394281;
0.864; 0.163588; 0.732039; 0.566166; 0.394706;
0.88; 0.163272; 0.732018; 0.566598; 0.393655;
0.896; 0.16358; 0.732109; 0.567033; 0.394046;
0.912; 0.163556; 0.732202; 0.567469; 0.393635;
0.928; 0.151108; 0.736537; 0.567815; 0.361316;
0.944; 0.139462; 0.744985; 0.568086; 0.32953;
0.96; 0.144202; 0.753129; 0.56836; 0.336883;
0.976; 0.128567; 0.766059; 0.568521; 0.295203;
0.992; 0.13161; 0.778843; 0.568683; 0.297144;
1.008; 0.134206; 0.79149; 0.56884; 0.298083;
1.024; 0.134164; 0.804284; 0.568984; 0.293175;
1.04; 0.132983; 0.817156; 0.569118; 0.285949;
1.056; 0.177228; 0.820686; 0.569335; 0.379305;
1.072; 0.141297; 0.830008; 0.569441; 0.298953;
1.088; 0.145367; 0.839624; 0.569554; 0.30398;
1.104; 0.150882; 0.846375; 0.569693; 0.31292;
1.12; 0.178282; 0.84961; 0.569866; 0.368227;
1.136; 0.14846; 0.854984; 0.569995; 0.304636;
1.152; 0.189046; 0.855474; 0.570141; 0.387596;
1.168; 0.146305; 0.859779; 0.570222; 0.298421;
1.184; 0.190384; 0.860095; 0.570361; 0.388091;
1.2; 0.180256; 0.863684; 0.570489; 0.365837;
1.216; 0.189403; 0.863776; 0.570614; 0.384276;
1.232; 0.159363; 0.868556; 0.570706; 0.321496;
1.248; 0.19013; 0.868528; 0.570817; 0.383505;
1.264; 0.182465; 0.868164; 0.57093; 0.368124;
1.28; 0.182428; 0.870339; 0.571042; 0.367058;
1.296; 0.186748; 0.870218; 0.571153; 0.375728;
1.312; 0.184699; 0.872384; 0.571262; 0.370613;
1.328; 0.187543; 0.872037; 0.571369; 0.376399;
1.344; 0.150709; 0.876833; 0.571457; 0.300772;
1.36; 0.191044; 0.878416; 0.571552; 0.380519;
1.376; 0.185372; 0.879681; 0.571643; 0.368633;
1.392; 0.18704; 0.883937; 0.571732; 0.370102;
1.408; 0.192689; 0.885876; 0.571813; 0.38039;
1.424; 0.187637; 0.885058; 0.571888; 0.370711;
1.44; 0.183927; 0.889214; 0.571966; 0.361634;
1.456; 0.190437; 0.893303; 0.572035; 0.372675;
1.472; 0.193248; 0.897777; 0.572094; 0.376252;
1.488; 0.192893; 0.900301; 0.572141; 0.374479;
1.504; 0.191521; 0.901939; 0.572177; 0.371115;
1.52; 0.188404; 0.902013; 0.572206; 0.365027;
1.536; 0.187782; 0.900647; 0.572229; 0.364358;
1.552; 0.186987; 0.902896; 0.572247; 0.361902;
1.568; 0.182343; 0.902481; 0.57227; 0.353061;
1.584; 0.185633; 0.90206; 0.572287; 0.359589;
1.6; 0.184075; 0.900959; 0.572299; 0.356998;
1.616; 0.183508; 0.900448; 0.572305; 0.356097;
1.632; 0.183057; 0.899738; 0.572305; 0.355503;
1.648; 0.182699; 0.899319; 0.572302; 0.354974;
1.664; 0.179641; 0.898099; 0.572295; 0.349511;
1.68; 0.17853; 0.897768; 0.572282; 0.347486;
1.696; 0.178082; 0.897645; 0.572264; 0.346672;
1.712; 0.176649; 0.897673; 0.572244; 0.343883;
1.728; 0.17536; 0.897809; 0.572222; 0.341336;
1.744; 0.177026; 0.900453; 0.572197; 0.343582;
1.76; 0.175482; 0.90321; 0.572178; 0.339557;
1.776; 0.177374; 0.903178; 0.572162; 0.34324;
1.792; 0.179571; 0.903148; 0.572143; 0.347515;
1.808; 0.1796; 0.905772; 0.572121; 0.346578;
1.824; 0.177317; 0.905949; 0.572105; 0.342113;
1.84; 0.181629; 0.908407; 0.572086; 0.349498;
1.856; 0.17771; 0.910965; 0.572071; 0.341005;
1.872; 0.177461; 0.911084; 0.572062; 0.340487;
1.888; 0.183248; 0.913386; 0.572049; 0.350713;
1.904; 0.179512; 0.913336; 0.57204; 0.343587;
1.92; 0.183309; 0.915836; 0.572029; 0.349903;
1.936; 0.181386; 0.918289; 0.572022; 0.345312;
1.952; 0.180544; 0.917237; 0.572019; 0.344106;
1.968; 0.186129; 0.92008; 0.572011; 0.353658;
1.984; 0.181039; 0.923172; 0.572009; 0.342837;
2; 0.183738; 0.926014; 0.572012; 0.346876;
2.016; 0.185499; 0.927694; 0.57202; 0.349563;
2.032; 0.188257; 0.930313; 0.572031; 0.353754;
2.048; 0.187151; 0.931331; 0.572044; 0.351283;
2.064; 0.189084; 0.931843; 0.572061; 0.354706;
2.08; 0.189301; 0.931906; 0.572081; 0.355077;
2.096; 0.190417; 0.93151; 0.572104; 0.357308;
2.112; 0.189505; 0.931214; 0.572132; 0.355692;
2.128; 0.189995; 0.931041; 0.572163; 0.35666;
2.144; 0.190265; 0.930906; 0.572196; 0.357198;
2.16; 0.19073; 0.930728; 0.572233; 0.358116;
2.176; 0.192016; 0.930694; 0.572272; 0.360518;
2.192; 0.191408; 0.930754; 0.572312; 0.35933;
2.208; 0.191213; 0.930775; 0.572352; 0.35893;
2.224; 0.191835; 0.930966; 0.572395; 0.359997;
2.24; 0.190869; 0.930931; 0.572441; 0.358168;
2.256; 0.190717; 0.9311; 0.572487; 0.357789;
2.272; 0.192354; 0.931204; 0.572535; 0.36079;
2.288; 0.191149; 0.931094; 0.572583; 0.358541;
2.304; 0.188765; 0.934778; 0.57263; 0.352646;
2.32; 0.197343; 0.934986; 0.572678; 0.368557;
2.336; 0.190938; 0.935064; 0.572721; 0.356539;
2.352; 0.192833; 0.935107; 0.572767; 0.360033;
2.368; 0.193707; 0.934801; 0.572816; 0.361752;
2.384; 0.192432; 0.93367; 0.572867; 0.359775;
2.4; 0.19047; 0.931272; 0.572924; 0.356989;
2.416; 0.191722; 0.930759; 0.572988; 0.359491;
2.432; 0.194356; 0.930456; 0.573054; 0.364508;
2.448; 0.194526; 0.9285; 0.573121; 0.365553;
2.464; 0.190684; 0.928243; 0.573194; 0.358386;
2.48; 0.196454; 0.928923; 0.573268; 0.368912;
2.496; 0.198067; 0.927339; 0.573342; 0.372529;
2.512; 0.192375; 0.925632; 0.573419; 0.362442;
2.528; 0.193212; 0.925775; 0.573502; 0.36391;
2.544; 0.196237; 0.924322; 0.573585; 0.370135;
2.56; 0.192805; 0.922911; 0.573673; 0.364162;
2.576; 0.193393; 0.923269; 0.573765; 0.365072;
2.592; 0.195844; 0.922094; 0.573858; 0.370111;
2.608; 0.195263; 0.920143; 0.573956; 0.369731;
2.624; 0.19501; 0.921044; 0.574055; 0.368826;
2.64; 0.194797; 0.918691; 0.574154; 0.369306;
2.656; 0.193609; 0.916614; 0.574255; 0.367819;
2.672; 0.194699; 0.914576; 0.574363; 0.370644;
2.688; 0.192925; 0.912698; 0.574472; 0.367954;
2.704; 0.194266; 0.911031; 0.574586; 0.371115;
2.72; 0.192838; 0.909432; 0.574701; 0.368961;
2.736; 0.193534; 0.907886; 0.57482; 0.370847;
2.752; 0.191791; 0.906432; 0.57494; 0.368019;
2.768; 0.192526; 0.905286; 0.575063; 0.369818;
2.784; 0.194137; 0.90767; 0.57519; 0.371852;
2.8; 0.196424; 0.906758; 0.575315; 0.376528;
2.816; 0.194514; 0.905684; 0.575441; 0.373228;
2.832; 0.192981; 0.904637; 0.575566; 0.370634;
2.848; 0.193018; 0.903703; 0.575694; 0.371006;
2.864; 0.192544; 0.902887; 0.575822; 0.370347;
2.88; 0.192664; 0.902098; 0.575953; 0.370818;
2.896; 0.191863; 0.901348; 0.576083; 0.369499;
2.912; 0.192138; 0.900699; 0.576216; 0.37021;
2.928; 0.192149; 0.900161; 0.57635; 0.370366;
2.944; 0.192138; 0.899736; 0.576486; 0.370434;
2.96; 0.192599; 0.899455; 0.576622; 0.37135;
2.976; 0.192843; 0.899164; 0.57676; 0.37185;
2.992; 0.192257; 0.89881; 0.576898; 0.37078;
3.008; 0.191346; 0.898548; 0.577035; 0.369043;
3.024; 0.192574; 0.898297; 0.577174; 0.371426;
3.04; 0.190703; 0.897971; 0.577311; 0.367862;
3.056; 0.191096; 0.897851; 0.577449; 0.368582;
3.072; 0.192103; 0.897843; 0.577589; 0.370438;
3.088; 0.192947; 0.897987; 0.57773; 0.371914;
3.104; 0.193071; 0.898061; 0.577872; 0.372032;
3.12; 0.192332; 0.898177; 0.578011; 0.37047;
3.136; 0.193228; 0.898222; 0.578153; 0.372087;
3.152; 0.191261; 0.898353; 0.57829; 0.368157;
3.168; 0.193212; 0.898442; 0.578431; 0.371787;
3.184; 0.19188; 0.89861; 0.578569; 0.369065;
3.2; 0.193431; 0.89883; 0.57871; 0.371868;
3.216; 0.192952; 0.898987; 0.57885; 0.370792;
3.232; 0.192069; 0.899117; 0.578987; 0.368954;
3.248; 0.192841; 0.899329; 0.579126; 0.370261;
3.264; 0.192694; 0.89953; 0.579264; 0.369808;
3.28; 0.192476; 0.899792; 0.579401; 0.369195;
3.296; 0.193208; 0.900161; 0.579538; 0.370358;
3.312; 0.193764; 0.900467; 0.579676; 0.371211;
3.328; 0.193145; 0.900821; 0.579812; 0.369793;
3.344; 0.194328; 0.901203; 0.57995; 0.371812;
3.36; 0.194215; 0.901494; 0.580086; 0.371388;
3.376; 0.19288; 0.901771; 0.58022; 0.368637;
3.392; 0.193716; 0.901956; 0.580354; 0.370072;
3.408; 0.192132; 0.902232; 0.580486; 0.366851;
3.424; 0.193882; 0.902533; 0.580619; 0.369985;
3.44; 0.19332; 0.902903; 0.580752; 0.368676;
3.456; 0.194761; 0.903248; 0.580886; 0.371197;
3.472; 0.19295; 0.903515; 0.581016; 0.367555;
3.488; 0.194357; 0.903825; 0.581148; 0.370024;
3.504; 0.19378; 0.904059; 0.581278; 0.368747;
3.52; 0.192965; 0.904267; 0.581406; 0.36703;
