time; fitness; distance; velocity;
4.064; inf; inf; inf;
4.08; 4.46313e-07; 2; 4.46313e-07;
4.096; 3.34736e-07; 1.5; 3.34736e-07;
4.112; 2.97544e-07; 1.33333; 2.97544e-07;
4.128; 0.00999574; 1.2495; 0.0100158;
4.144; 0.0159935; 1.1992; 0.0160255;
4.16; 0.0199916; 1.16567; 0.0200317;
4.176; 0.0228477; 1.14171; 0.0228935;
4.192; 0.0249898; 1.12375; 0.0250399;
4.208; 0.0301978; 1.1096; 0.0302712;
4.224; 0.0343644; 1.09828; 0.0344565;
4.24; 0.0377735; 1.08902; 0.0378807;
4.256; 0.0406144; 1.0813; 0.0407343;
4.272; 0.0430182; 1.07477; 0.0431489;
4.288; 0.0468962; 1.06908; 0.0470516;
4.304; 0.0502571; 1.06415; 0.0504339;
4.32; 0.053198; 1.05984; 0.0533935;
4.336; 0.0557929; 1.05603; 0.056005;
4.352; 0.0580995; 1.05265; 0.0583262;
4.368; 0.0612325; 1.04957; 0.061484;
4.384; 0.0640523; 1.04679; 0.064326;
4.4; 0.0666017; 1.04428; 0.0668957;
4.416; 0.0689333; 1.042; 0.0692457;
4.432; 0.0710645; 1.03992; 0.0713936;
4.448; 0.084119; 1.03675; 0.0850354;
4.464; 0.0975668; 1.03383; 0.0990774;
4.48; 0.109922; 1.03114; 0.111979;
4.496; 0.121254; 1.02865; 0.123813;
4.512; 0.132054; 1.02633; 0.135089;
4.528; 0.148136; 1.02313; 0.152541;
4.544; 0.163468; 1.02013; 0.169173;
4.56; 0.177707; 1.01733; 0.184621;
4.576; 0.190949; 1.01471; 0.19899;
4.592; 0.20335; 1.01224; 0.212446;
4.608; 0.215641; 1.00958; 0.226026;
4.624; 0.227181; 1.00706; 0.238777;
4.64; 0.237869; 1.00468; 0.250592;
4.656; 0.247974; 1.00243; 0.26176;
4.672; 0.257518; 1.0003; 0.272311;
4.688; 0.266283; 0.998061; 0.282164;
4.704; 0.274488; 0.995929; 0.291392;
4.72; 0.282176; 0.993902; 0.300042;
4.736; 0.289349; 0.991972; 0.308116;
4.752; 0.296086; 0.990131; 0.315703;
4.768; 0.301612; 0.988186; 0.322076;
4.784; 0.306732; 0.986327; 0.327988;
4.8; 0.311551; 0.984549; 0.333558;
4.816; 0.316048; 0.982847; 0.338761;
4.832; 0.320229; 0.981216; 0.343604;
4.848; 0.323265; 0.979499; 0.347261;
4.864; 0.326046; 0.97785; 0.350624;
4.88; 0.328645; 0.976266; 0.353773;
4.896; 0.331076; 0.974744; 0.356725;
4.912; 0.33334; 0.973278; 0.359481;
4.928; 0.334829; 0.971755; 0.361422;
4.944; 0.336173; 0.970287; 0.363192;
4.96; 0.337425; 0.968871; 0.364848;
4.976; 0.338585; 0.967506; 0.366394;
4.992; 0.339654; 0.966187; 0.367828;
5.008; 0.340185; 0.964821; 0.368694;
5.024; 0.340643; 0.963501; 0.369468;
5.04; 0.341045; 0.962224; 0.370171;
5.056; 0.341398; 0.960988; 0.37081;
5.072; 0.341701; 0.959792; 0.371385;
5.088; 0.341642; 0.958555; 0.371579;
5.104; 0.34154; 0.957356; 0.371714;
5.12; 0.341407; 0.956193; 0.371808;
5.136; 0.341245; 0.955065; 0.371861;
5.152; 0.341058; 0.95397; 0.371879;
5.168; 0.3406; 0.95284; 0.371609;
5.184; 0.340128; 0.951741; 0.371316;
5.2; 0.339637; 0.950674; 0.370995;
5.216; 0.339129; 0.949636; 0.370647;
5.232; 0.338605; 0.948627; 0.370276;
5.248; 0.337892; 0.947584; 0.369704;
5.264; 0.337168; 0.946569; 0.369114;
5.28; 0.336441; 0.945581; 0.368513;
5.296; 0.335701; 0.944619; 0.367892;
5.312; 0.334949; 0.943681; 0.367251;
5.328; 0.334052; 0.942712; 0.366457;
5.344; 0.333147; 0.941767; 0.365649;
5.36; 0.332234; 0.940846; 0.364825;
5.376; 0.331312; 0.939947; 0.363984;
5.392; 0.330383; 0.93907; 0.363131;
5.408; 0.329337; 0.938162; 0.362155;
5.424; 0.328282; 0.937276; 0.361162;
5.44; 0.327218; 0.936411; 0.360152;
5.456; 0.326149; 0.935565; 0.359133;
5.472; 0.325071; 0.934739; 0.358098;
5.488; 0.323839; 0.933883; 0.356894;
5.504; 0.322603; 0.933046; 0.35568;
5.52; 0.321362; 0.932227; 0.354455;
5.536; 0.32012; 0.931426; 0.353224;
5.552; 0.318872; 0.930642; 0.351981;
5.568; 0.317455; 0.929833; 0.350548;
5.584; 0.316042; 0.929041; 0.349115;
5.6; 0.314632; 0.928266; 0.347681;
5.616; 0.313235; 0.927507; 0.346258;
5.632; 0.311842; 0.926763; 0.344834;
5.648; 0.309818; 0.926002; 0.342673;
5.664; 0.307877; 0.925257; 0.340605;
5.68; 0.306062; 0.924526; 0.338681;
5.696; 0.304368; 0.92381; 0.336895;
5.712; 0.302779; 0.923108; 0.335229;
5.728; 0.30175; 0.922597; 0.33417;
5.744; 0.301049; 0.922095; 0.333484;
5.76; 0.30035; 0.921603; 0.332799;
5.776; 0.299782; 0.92112; 0.332263;
5.792; 0.299336; 0.920646; 0.331865;
5.808; 0.298181; 0.920342; 0.330614;
5.824; 0.296952; 0.920042; 0.329278;
5.84; 0.295796; 0.919748; 0.328023;
5.856; 0.294706; 0.91946; 0.326842;
5.872; 0.293708; 0.919176; 0.325764;
5.888; 0.291909; 0.919013; 0.323769;
5.904; 0.290096; 0.918853; 0.321759;
5.92; 0.288338; 0.918696; 0.319811;
5.936; 0.286597; 0.918541; 0.317881;
5.952; 0.284924; 0.918389; 0.316026;
5.968; 0.282627; 0.918326; 0.313477;
5.984; 0.280379; 0.918265; 0.310982;
6; 0.278169; 0.918204; 0.308529;
6.016; 0.275993; 0.918144; 0.306115;
6.032; 0.27387; 0.918086; 0.303759;
6.048; 0.272172; 0.918083; 0.301866;
6.064; 0.270527; 0.91808; 0.300031;
6.08; 0.268902; 0.918077; 0.298219;
6.096; 0.267301; 0.918075; 0.296433;
6.112; 0.265723; 0.918072; 0.294673;
6.128; 0.26466; 0.918115; 0.293468;
6.144; 0.26364; 0.918157; 0.29231;
6.16; 0.262645; 0.918199; 0.291181;
6.176; 0.261665; 0.91824; 0.290068;
6.192; 0.260698; 0.918281; 0.28897;
6.208; 0.260229; 0.91836; 0.288403;
6.224; 0.259782; 0.918437; 0.287861;
6.24; 0.259377; 0.918514; 0.287365;
6.256; 0.258971; 0.91859; 0.286868;
6.272; 0.258569; 0.918664; 0.286377;
6.288; 0.25851; 0.918771; 0.286247;
6.304; 0.258452; 0.918877; 0.286118;
6.32; 0.25839; 0.918981; 0.285985;
6.336; 0.258317; 0.919084; 0.285843;
6.352; 0.258242; 0.919186; 0.285698;
6.368; 0.258404; 0.919315; 0.285798;
6.384; 0.258553; 0.919444; 0.285887;
6.4; 0.2587; 0.91957; 0.285973;
6.416; 0.258838; 0.919695; 0.286052;
6.432; 0.258959; 0.919817; 0.286113;
6.448; 0.25927; 0.919962; 0.286369;
6.464; 0.259571; 0.920105; 0.286616;
6.48; 0.259854; 0.920246; 0.286845;
6.496; 0.2601; 0.920385; 0.287034;
6.512; 0.260331; 0.920522; 0.287209;
6.528; 0.260719; 0.920681; 0.287544;
6.544; 0.261121; 0.920837; 0.287895;
6.56; 0.261535; 0.920991; 0.288259;
