time; pose_x; pose_y; pose_heading 
0.08; -2.89314; 2.13578e-08; -1.57084
0.096; -2.89314; 2.13578e-08; -1.57084
0.112; -2.89314; 2.13578e-08; -1.57084
0.128; -2.89314; 2.13578e-08; -1.57084
0.144; -2.89314; 2.13578e-08; -1.57084
0.16; -2.88309; -1.12739e-07; -1.57077
0.176; -2.88309; -1.12739e-07; -1.57077
0.192; -2.88309; -1.12739e-07; -1.57077
0.208; -2.88309; -1.12739e-07; -1.57077
0.224; -2.88309; -1.12739e-07; -1.57077
0.24; -2.87304; -4.11938e-07; -1.57077
0.256; -2.87304; -4.11938e-07; -1.57077
0.272; -2.87304; -4.11938e-07; -1.57077
0.288; -2.87304; -4.11938e-07; -1.57077
0.304; -2.87304; -4.11938e-07; -1.57077
0.32; -2.86299; -7.26006e-07; -1.57077
0.336; -2.86299; -7.26006e-07; -1.57077
0.352; -2.86299; -7.26006e-07; -1.57077
0.368; -2.86299; -7.26006e-07; -1.57077
0.384; -2.86299; -7.26006e-07; -1.57077
0.4; -2.85295; -9.87875e-07; -1.57078
0.416; -2.85295; -9.87875e-07; -1.57078
0.432; -2.85295; -9.87875e-07; -1.57078
0.448; -2.85295; -9.87875e-07; -1.57078
0.464; -2.85295; -9.87875e-07; -1.57078
0.48; -2.8429; -1.08867e-06; -1.5708
0.496; -2.8429; -1.08867e-06; -1.5708
0.512; -2.8429; -1.08867e-06; -1.5708
0.528; -2.8429; -1.08867e-06; -1.5708
0.544; -2.8429; -1.08867e-06; -1.5708
0.56; -2.83285; -9.42092e-07; -1.57083
0.576; -2.83285; -9.42092e-07; -1.57083
0.592; -2.83285; -9.42092e-07; -1.57083
0.608; -2.83285; -9.42092e-07; -1.57083
0.624; -2.83285; -9.42092e-07; -1.57083
0.64; -2.8228; -5.43147e-07; -1.57085
0.656; -2.8228; -5.43147e-07; -1.57085
0.672; -2.8228; -5.43147e-07; -1.57085
0.688; -2.8228; -5.43147e-07; -1.57085
0.704; -2.8228; -5.43147e-07; -1.57085
0.72; -2.81275; 2.95296e-08; -1.57086
0.736; -2.81275; 2.95296e-08; -1.57086
0.752; -2.81275; 2.95296e-08; -1.57086
0.768; -2.81275; 2.95296e-08; -1.57086
0.784; -2.81275; 2.95296e-08; -1.57086
0.8; -2.80271; 6.42337e-07; -1.57086
0.816; -2.80271; 6.42337e-07; -1.57086
0.832; -2.80271; 6.42337e-07; -1.57086
0.848; -2.80271; 6.42337e-07; -1.57086
0.864; -2.80271; 6.42337e-07; -1.57086
0.88; -2.79266; 1.21825e-06; -1.57085
0.896; -2.79266; 1.21825e-06; -1.57085
0.912; -2.79266; 1.21825e-06; -1.57085
0.928; -2.79266; 1.21825e-06; -1.57085
0.944; -2.79266; 1.21825e-06; -1.57085
0.96; -2.78261; 1.66374e-06; -1.57083
0.976; -2.78261; 1.66374e-06; -1.57083
0.992; -2.78261; 1.66374e-06; -1.57083
1.008; -2.78261; 1.66374e-06; -1.57083
1.024; -2.78261; 1.66374e-06; -1.57083
1.04; -2.77256; 1.87696e-06; -1.5708
1.056; -2.77256; 1.87696e-06; -1.5708
1.072; -2.77256; 1.87696e-06; -1.5708
1.088; -2.77256; 1.87696e-06; -1.5708
1.104; -2.77256; 1.87696e-06; -1.5708
1.12; -2.76251; 1.83092e-06; -1.57078
1.136; -2.76251; 1.83092e-06; -1.57078
1.152; -2.76251; 1.83092e-06; -1.57078
1.168; -2.76251; 1.83092e-06; -1.57078
1.184; -2.76251; 1.83092e-06; -1.57078
1.2; -2.75247; 1.58414e-06; -1.57077
1.216; -2.75247; 1.58414e-06; -1.57077
1.232; -2.75247; 1.58414e-06; -1.57077
1.248; -2.75247; 1.58414e-06; -1.57077
1.264; -2.75247; 1.58414e-06; -1.57077
1.28; -2.74242; 1.26362e-06; -1.57077
1.296; -2.74242; 1.26362e-06; -1.57077
1.312; -2.74242; 1.26362e-06; -1.57077
1.328; -2.74242; 1.26362e-06; -1.57077
1.344; -2.74242; 1.26362e-06; -1.57077
1.36; -2.73237; 9.65468e-07; -1.57077
1.376; -2.73237; 9.65468e-07; -1.57077
1.392; -2.73237; 9.65468e-07; -1.57077
1.408; -2.73237; 9.65468e-07; -1.57077
1.424; -2.73237; 9.65468e-07; -1.57077
1.44; -2.72232; 7.67047e-07; -1.57079
1.456; -2.72232; 7.67047e-07; -1.57079
1.472; -2.72232; 7.67047e-07; -1.57079
